Name,Address,Category,Zip Code,Country,Source,Latitude,Longitude
AGFA,"Septestraat 27, Mortsel, 2640, Belgium","Industry, Corporate",2640,Belgium,https://hydrogeneurope.eu/members-locations/#,51.177553,4.441696
Air Liquide,"""75 quai dOrsay"", Paris, 75321, France","Industry, Corporate",75321,France,https://hydrogeneurope.eu/members-locations/#,48.862226,2.304787
Air Products,"J.F. Willemsstraat 100, Vilvoorde, 1800, Belgium","Industry, Corporate",1800,Belgium,https://hydrogeneurope.eu/members-locations/#,50.937559,4.426466
Airbus,"2, rond-point Dewoitine, BP 90112, Blagnac Cedex, 31703, France","Industry, Corporate",31703,France,https://hydrogeneurope.eu/members-locations/#,43.625848,1.382666
AKFEN YENILEBILIR ENERJI (AKFEN RENEWABLE ENERGY),"ILKBAHAR MAH GALIP ERDEM CAD NO:3, Ankara, 6550, Türkiye","Industry, Corporate",6550,Türkiye,https://hydrogeneurope.eu/members-locations/#,,
"ALBA EMISSION FREE ENERGY, S.A.","Barrio San Martín, 5, Muskiz, 48550, Spain","Industry, Corporate",48550,Spain,https://hydrogeneurope.eu/members-locations/#,43.2093586,-3.1430773
Alfa Laval Technologies AB,"Rudeboksvägen 1, Lund, 226 55, Sweden","Project, Member",226 55,Sweden,https://hydrogeneurope.eu/members-locations/#,55.7249307,13.157240748402831
Aliaxis Group SA,"15-23 avenue Arnaud Fraiteur, Brussels, 1050, Belgium","Industry, Corporate",1050,Belgium,https://hydrogeneurope.eu/members-locations/#,50.8175155,4.3959196
Alstom,"48 Rue Albert Dhalenne, Saint-Ouen, 93400, France","Industry, Corporate",93400,France,https://hydrogeneurope.eu/members-locations/#,48.914934,2.330397
AMHYD (Moroccan Hydrogen Association),"Rue Mohamed Abdou 23, Casablanca, 20250, Morocco","Non-EU, National, Association",20250,Morocco,https://hydrogeneurope.eu/members-locations/#,35.770558550000004,-5.8253839
ANDRITZ,"Stattegger Strasse 18, Graz, 8045, Austria","Industry, Corporate",8045,Austria,https://hydrogeneurope.eu/members-locations/#,47.106601,15.4202248
Anglo Platinum Marketing,"Gotthardstrasse 20, Zug, 6300, Switzerland","Industry, Corporate",6300,Switzerland,https://hydrogeneurope.eu/members-locations/#,47.1727077,8.514152
Ansaldo Energia,"Via N. Lorenzi 8, Genoa, 16152, Italy","Industry, Corporate",16152,Italy,https://hydrogeneurope.eu/members-locations/#,44.4279703,8.8843274
Aperam,"Rue Pierre Loti 53, Isbergues, 62330, France","Project, Member",62330,France,https://hydrogeneurope.eu/members-locations/#,50.615091,2.476635
APREN,"Avenida da República 59 - 2º andar 59 - 2º andar, Lisboa, 1050-189, Portugal","EU National, Association",1050-189,Portugal,https://hydrogeneurope.eu/members-locations/#,41.6218131,-8.4723723
"APS - Administração dos Portos de Sines e do Algarve, SA","Rua do Porto Industrial, Sines, 7520 - 953, Portugal","Industry, Corporate",7520 - 953,Portugal,https://hydrogeneurope.eu/members-locations/#,,
Aramco Overseas Company B.V.,"Prinses Beatrixlaan 35, AK Den Haag, 2595, Netherlands","Global, Partner",2595,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.0775809,4.3368518
ArcelorMittal,"John Kennedylaan 51, Gent, 9042, Belgium","Industry, Corporate",9042,Belgium,https://hydrogeneurope.eu/members-locations/#,51.184015,3.831202
Argent Energy,"Hornweg 61, Amsterdam, 1044 AN, Netherlands","Project, Member",1044 AN,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.3989033,4.8063086
ARTELYS SAS,"81 rue Saint Lazare, Paris, 75009, France","Project, Member",75009,France,https://hydrogeneurope.eu/members-locations/#,48.8759316,2.3303682
ARTHUR BUS GmbH,"Hubertusstr. 3, Planegg, 82152, Germany","Industry, Corporate",82152,Germany,https://hydrogeneurope.eu/members-locations/#,48.10338445,11.417643406992735
Asahi Kasei Europe,"Fringsstrasse 17, Dusseldorf, 40221, Germany","Industry, Corporate",40221,Germany,https://hydrogeneurope.eu/members-locations/#,51.21137405,6.736852583403479
(AHMUR),"Calle Gabriel Campillo s/n Polígono Industrial La Serreta, Molina de Segura, 30500, Spain","Other Non-, Profit",30500,Spain,https://hydrogeneurope.eu/members-locations/#,38.079783,-1.224932
Association of Gas - and District Heating Supply Companies (FGW),"Schubertring 14, Vienna, 1010, Austria","Other Non-, Profit",1010,Austria,https://hydrogeneurope.eu/members-locations/#,48.2019656,16.3745306
Atawey,"17 Avenue du Lac Léman, Le Bourget du Lac, 73370, France","Industry, Corporate",73370,France,https://hydrogeneurope.eu/members-locations/#,45.6448687,5.8727865
Audi,"Ettinger Str, Ingolstadt, 85057, Germany","Industry, Corporate",85057,Germany,https://hydrogeneurope.eu/members-locations/#,48.7862,11.407539
AVL List GmbH,"Hans-List-Platz 1, Graz, 8020, Austria","Industry, Corporate",8020,Austria,https://hydrogeneurope.eu/members-locations/#,47.0777018,15.4251443
Axens Group,"89, bd Franklin Roosevelt, Rueil-Malmaison, 92508, France","Industry, Corporate",92508,France,https://hydrogeneurope.eu/members-locations/#,48.8791294,2.1660008
Axpo,"Parkstrasse 23, Baden, 5401, Switzerland","Industry, Corporate",5401,Switzerland,https://hydrogeneurope.eu/members-locations/#,47.479396,8.309104
Baker Hughes,"Via Felice Matteucci 2, Florence, 50127, Italy","Industry, Corporate",50127,Italy,https://hydrogeneurope.eu/members-locations/#,43.8030738,11.2295918
Ballard Power Systems Europe,"Majsmarken 1, Hobro, 9500, Denmark","Industry, Corporate",9500,Denmark,https://hydrogeneurope.eu/members-locations/#,56.654483,9.795555
Baltic Ports Organization,"Sadama 25, Tallinn, 15051, Estonia","Other Non-, Profit",15051,Estonia,https://hydrogeneurope.eu/members-locations/#,59.444258250000004,24.7622960105534
Battolyser Systems B.V.,"Conradstraat 4, Schiedam, 3125BC, Netherlands","Industry, Corporate",3125BC,Netherlands,https://hydrogeneurope.eu/members-locations/#,51.9298916,4.4059576
BDEW,"Reinhardtstr. 32, Berlin, 10117, Germany","Other Non-, Profit",10117,Germany,https://hydrogeneurope.eu/members-locations/#,52.5228747,13.3809023
BDR Thermea Group BV,"Kanaal Zuid 106, Apeldoorn, 7332, Netherlands","Industry, Corporate",7332,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.1956049,5.9814703
Benteler Steel/Tube GmbH & Co. KG,"Residenzstrasse 1, Paderborn, 33104, Germany","Project, Member",33104,Germany,https://hydrogeneurope.eu/members-locations/#,51.745101,8.717754
Biedrība ”Zaļo un Viedo Tehnoloģiju Klasteris”,"Liepāja, Strautu iela 4, Liepāja, LV-3401, Latvia","Other Non-, Profit",LV-3401,Latvia,https://hydrogeneurope.eu/members-locations/#,56.4999314,21.0089049
Bilfinger,"Oskar-Meixner-Straße 1, Mannheim, 68163, Germany","Project, Member",68163,Germany,https://hydrogeneurope.eu/members-locations/#,49.47009815,8.4848813
Bioway,"Pri pracharni 20, Kosice, 4011, Slovakia","Industry, Corporate",4011,Slovakia,https://hydrogeneurope.eu/members-locations/#,48.696799,21.245341
Blue World Technologies,"Egeskovvej 6C, Kvistgaard, 3490, Denmark","Industry, Corporate",3490,Denmark,https://hydrogeneurope.eu/members-locations/#,55.991674,12.501687
BluEnergy Revolution Società Cooperativa,"Via Greto di Cornigliano 6, Genova, 16152, Italy","Project, Member",16152,Italy,https://hydrogeneurope.eu/members-locations/#,44.4253117,8.8866675
BMW,"Petuelring 130, München, 80788, Germany","Industry, Corporate",80788,Germany,https://hydrogeneurope.eu/members-locations/#,48.176909800000004,11.560129933458597
Bosal Energy NV,"Dellestraat 20, Lummen, 3560, Belgium","Industry, Corporate",3560,Belgium,https://hydrogeneurope.eu/members-locations/#,50.987177,5.238681
BOSS Energy Consulting,"101 Lincoln House, Kennington Park, 1 Brixton Road, Oval, London, SW9 6DE, United Kingdom","Non-Industry, Corporate",SW9 6DE,United Kingdom,https://hydrogeneurope.eu/members-locations/#,51.4806846,-0.1111974
BP,"Rond-Point Robert Schuman 11, Brussels, 1040, Belgium","Industry, Corporate",1040,Belgium,https://hydrogeneurope.eu/members-locations/#,50.8428218,4.3843081
Bramble Energy,"Unit 6, Satellite Business Village, Crawley, RH10 9NE, United Kingdom","Industry, Corporate",RH10 9NE,United Kingdom,https://hydrogeneurope.eu/members-locations/#,,
Brintbranchen,"Vesterbrogade 1C, København V, 1620, Denmark","EU National, Association",1620,Denmark,https://hydrogeneurope.eu/members-locations/#,55.675353,12.567442
Bulgarian Hydrogen Institute,"Oborishte 5, fl.6, Sofia, 1504, Bulgaria","EU National, Association",1504,Bulgaria,https://hydrogeneurope.eu/members-locations/#,,
"Bulgarian Hydrogen, Fuel Cell and Energy Storage Association","Acad. Georgi Bonchev Str., Block 10, Sofia, 1113, Bulgaria","EU National, Association",1113,Bulgaria,https://hydrogeneurope.eu/members-locations/#,,
Burckhardt Compression AG,"Franz-Burckhardt-Strasse 5, Winterthur, 8404, Switzerland","Industry, Corporate",8404,Switzerland,https://hydrogeneurope.eu/members-locations/#,47.50280735,8.760614644240771
Bureau Veritas Marine & offshore,"Tour Alto, 4 place des saisons, Courbevoie, 92400, France","Project, Member",92400,France,https://hydrogeneurope.eu/members-locations/#,48.889323,2.2513
Buschjost GmbH,"Detmolder Str. 256, Bad Oeynhausen, 32545, Germany","Industry, Corporate",32545,Germany,https://hydrogeneurope.eu/members-locations/#,52.1707229,8.8043157
CaetanoBus,"Av. Vasco da Gama, Vila Nova de Gaia, 4431-901, Portugal","Industry, Corporate",4431-901,Portugal,https://hydrogeneurope.eu/members-locations/#,41.094082,-8.549817
Capenergies,"Domaine du Petit Arbois, Avenue Louis Philibert, Bâtiment, Henri Poincaré, Cedex 4 - CS30658, Aix en Provence, 13547, France","Project, Member",13547,France,https://hydrogeneurope.eu/members-locations/#,43.53007945,5.4495035974166655
Capital Energy,"C/ Marqués de Villamagna 3, Planta 5, Madrid, 28001, Spain","Industry, Corporate",28001,Spain,https://hydrogeneurope.eu/members-locations/#,,
CARA,"1, boulevard Edmond Michelet, Lyon, 69008, France","Project, Member",69008,France,https://hydrogeneurope.eu/members-locations/#,45.732974,4.8787199
CARELL S.A,"Industrial Park of Schisto 805-806, Perama, 18863, Greece","Industry, Corporate",18863,Greece,https://hydrogeneurope.eu/members-locations/#,37.959375,23.707974
Catalan Agency for Business Competitiveness (ACCIÓ),"Passeig de Gràcia, 129, Barcelona, 8008, Spain",EU Region,8008,Spain,https://hydrogeneurope.eu/members-locations/#,41.3975988,2.1576571
CEGH,"Floridsdorfer Hauptstraße 1, Wien, 1210, Austria","Non-Industry, Corporate",1210,Austria,https://hydrogeneurope.eu/members-locations/#,48.2529696,16.3930741
cellcentric,"Neue Str. 95, Kirchheim/Teck-Nabern, 73230, Germany","Industry, Corporate",73230,Germany,https://hydrogeneurope.eu/members-locations/#,48.6162999,9.4766146
Cenergy Holdings,"33, Amarousiou-Halandriou Str., Maroussi, Attiki,, 15125, Greece","Industry, Corporate",15125,Greece,https://hydrogeneurope.eu/members-locations/#,,
Centrica plc,"Millstream Maidenhead Road, Berkshire, Windsor, SL4 5GD, United Kingdom","Industry, Corporate",SL4 5GD,United Kingdom,https://hydrogeneurope.eu/members-locations/#,51.482684,-0.621735
Ceres,"Viking House, Foundry Lane, HORSHAM, RH13 5PX, United Kingdom","Industry, Corporate",RH13 5PX,United Kingdom,https://hydrogeneurope.eu/members-locations/#,51.0716602,-0.3146613
Chariot Green Hydrogen Ltd.,"19-21 Old Bond Street, London, W1S 4PX, United Kingdom","Global, Partner",W1S 4PX,United Kingdom,https://hydrogeneurope.eu/members-locations/#,51.5092422,-0.1409924
Chemours,"Chemin du Pavillon 2, Geneva, 1218, Switzerland","Industry, Corporate",1218,Switzerland,https://hydrogeneurope.eu/members-locations/#,46.2381729,6.1228783
Chereau,"ZI le domaine, Ducey, AVRANCHES CEDEX, 50307, France","Project, Member",50307,France,https://hydrogeneurope.eu/members-locations/#,,
Chiyoda Corporation Netherlands B.V.,"Parkstraat 83, The Hague, 2514 JG, Netherlands","Industry, Corporate",2514 JG,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.083249,4.3080831
Circul8 Energy BV,"Wisentweg 64, Lelystad, 8219 PL, Netherlands","Non-Industry, Corporate",8219 PL,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.522008,5.5803659
Clear Corporate Finance,"Jachthavenweg, Amsterdam, 1081KM, Netherlands","Non-Industry, Corporate",1081KM,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.335403,4.854832
CLIC Innovation,"Eteläranta 10, 5th floor, Helsinki, FI-00130, Finland","Other Non-, Profit",FI-00130,Finland,https://hydrogeneurope.eu/members-locations/#,60.1655947,24.9523295
Cluster of Bioeconomy and Environment of Western Macedonia (CluBE),"ZEP Area, Kozani, 50100, Greece","Other Non-, Profit",50100,Greece,https://hydrogeneurope.eu/members-locations/#,,
CMB.TECH,"De Gerlachekaai 20, Antwerpen, 2000, Belgium","Industry, Corporate",2000,Belgium,https://hydrogeneurope.eu/members-locations/#,51.208909,4.386269
"CNET - CENTRE FOR NEW ENERGY TECHNOLOGIES, S.A.","R. Particular à R. Cidade de Goa 2, Sacavém, 2685-038, Portugal","Project, Member",2685-038,Portugal,https://hydrogeneurope.eu/members-locations/#,38.7858,-9.104625
Compagnie Fluviale de Transport (CFT),"11 rue du pont 5, Le Havre, 76080, France","Project, Member",76080,France,https://hydrogeneurope.eu/members-locations/#,49.482569,0.153993
Compagnie Nationale du Rhône (CNR),"2, rue André Bonin, Lyon, 69004, France","Project, Member",69004,France,https://hydrogeneurope.eu/members-locations/#,45.775013,4.8130657
Compañía Española de Petroleos SA,"Paseo de la Castellana 259-A, Madrid, 28046, Spain","Industry, Corporate",28046,Spain,https://hydrogeneurope.eu/members-locations/#,40.475716399999996,-3.6877509967607436
Comunidad Foral de Navarra - Gobierno de Navarra,"AVENIDA CARLOS III 2, Pamplona, 31002, Spain",EU Region,31002,Spain,https://hydrogeneurope.eu/members-locations/#,42.815953,-1.642547
Confederation of Danish Industry,"H. C. Andersens Boulevard 18, Copenhagen, 1553, Denmark","Other Non-, Profit",1553,Denmark,https://hydrogeneurope.eu/members-locations/#,55.67534,12.568018
ConocoPhillips Company,"925 N Eldridge Parkway, Houston, 77252, United States","Industry, Corporate",77252,United States,https://hydrogeneurope.eu/members-locations/#,29.78335183700673,-95.61780117072901
Conseil regional de Bretagne,"283 AV Général George Patton, Rennes, 35700, France",EU Region,35700,France,https://hydrogeneurope.eu/members-locations/#,48.1347358,-1.6602951
Conseil Régional Auvergne-Rhône-Alpes,"1 Espl. François Mitterrand, Lyon Cedex 2, CS 20033 - 69002, France",EU Region,CS 20033 - 69002,France,https://hydrogeneurope.eu/members-locations/#,45.740575,4.820078
Conseil Régional Nouvelle Aquitaine,"14 Rue François de Sourdis, Bordeaux, 33000, France",EU Region,33000,France,https://hydrogeneurope.eu/members-locations/#,44.8365393,-0.5892062
CONVION,"Tekniikantie 12, Espoo, 2150, Finland","Industry, Corporate",2150,Finland,https://hydrogeneurope.eu/members-locations/#,60.1840754,24.8142991
CoorsTek Membrane Sciences AS,"Gaustadalleen 21, Oslo, 349, Norway","Project, Member",349,Norway,https://hydrogeneurope.eu/members-locations/#,59.941889,10.715648
Copenhagen Infrastructure Partners P/S,"Amerika Plads 29, Copenhagen, 2100, Denmark","Non-Industry, Corporate",2100,Denmark,https://hydrogeneurope.eu/members-locations/#,55.700593,12.593547
Coxabengoa,"Energía Solar 1, Sevilla, 41014, Spain","Industry, Corporate",41014,Spain,https://hydrogeneurope.eu/members-locations/#,37.3774015,-6.0137585
Croatian Chamber of Economy,"Rooseveltov trg 2, Zagreb, 10000, Croatia","Other Non-, Profit",10000,Croatia,https://hydrogeneurope.eu/members-locations/#,45.80845285,15.968703739568161
Croatian Hydrogen Association,"R. Boškovića 32, Split, 21000, Croatia","EU National, Association",21000,Croatia,https://hydrogeneurope.eu/members-locations/#,43.5119214,16.4691441
Cryomotive GmbH,"Hauptstr. 8b, Grasbrunn, 85630, Germany","Industry, Corporate",85630,Germany,https://hydrogeneurope.eu/members-locations/#,48.0578081,11.771903806684815
Cummins,"Nijverheidsstraat 48c, Oevel, 2260, Belgium","Industry, Corporate",2260,Belgium,https://hydrogeneurope.eu/members-locations/#,51.1445645,4.8974884
Cyprus Hydrogen Association,"Federation Street, Strovolos, 4, Nicosia, 1066, Cyprus","EU National, Association",1066,Cyprus,https://hydrogeneurope.eu/members-locations/#,35.14448135,33.31515901635424
Czech Hydrogen Technology Platform (HYTEP),"Hlavní 130, Husinec, 250 68, Czech Republic","EU National, Association",250 68,Czech Republic,https://hydrogeneurope.eu/members-locations/#,50.1775159,14.3585796
Daimler Truck,"Einkaufsabrechnunghpc:h522, Sindelfingen, 71059, Germany","Industry, Corporate",71059,Germany,https://hydrogeneurope.eu/members-locations/#,49.800852,9.94137
Dekra,"Handwerkstraße 15, Stuttgart, 70565, Germany","Industry, Corporate",70565,Germany,https://hydrogeneurope.eu/members-locations/#,48.72014135,9.130452678169206
Demaco,"Oester 2, Noord-Scharwoude, 1723Hw, Netherlands","Industry, Corporate",1723Hw,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.7034768,4.8036094
DEME Concessions,"Scheldedijk 30, Zwijndrecht, 2070, Belgium","Industry, Corporate",2070,Belgium,https://hydrogeneurope.eu/members-locations/#,51.247857,4.31227
DENSO,"Freisinger Strasse 21-23, Eching, 85386, Germany","Industry, Corporate",85386,Germany,https://hydrogeneurope.eu/members-locations/#,48.3075618,11.64599473603549
DEPA,"Marinou Antipa Ave. 92, Heraklion Attikis, 14121, Greece","Industry, Corporate",14121,Greece,https://hydrogeneurope.eu/members-locations/#,,
DESFA,"Messogion Av. 357-359, Halandri, Attica, 15231, Greece","Industry, Corporate",15231,Greece,https://hydrogeneurope.eu/members-locations/#,38.0217116,23.8207549
DFDS A/S,"Marmorvej 18, Copenhagen, DK-2100, Denmark","Industry, Corporate",DK-2100,Denmark,https://hydrogeneurope.eu/members-locations/#,55.70347,12.596137
DIPUTACiÓN GENERAL DE ARAGÓN,"Edificio Pignatelli, Paseo de María Agustín 36, Zaragoza, 50004, Spain",EU Region,50004,Spain,https://hydrogeneurope.eu/members-locations/#,41.6530086,-0.8916506
DKV Mobility Services,"Balcke-Dürr-Allee 3, Ratingen, 40882, Germany","Industry, Corporate",40882,Germany,https://hydrogeneurope.eu/members-locations/#,51.293725,6.8666603
DP Energy Ireland,"Mill House, Buttevant, P51 TN35, Ireland","Industry, Corporate",P51 TN35,Ireland,https://hydrogeneurope.eu/members-locations/#,52.53802725,-7.290390927439516
DTEK,"Strawinskylaan 01531, Amsterdam, 1077Xx, Netherlands","Industry, Corporate",1077Xx,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.340259,4.874937
Duisburger Hafen AG,"Alte Ruhrorter Str. 42–52, Duisburg, 47119, Germany","Industry, Corporate",47119,Germany,https://hydrogeneurope.eu/members-locations/#,51.44988895,6.742961481969911
DVGW e.V. Deutscher Verein des Gas- und Wasserfaches,"Josef-Wirmer-Straße 1-3, Bonn, 53121, Germany","Other Non-, Profit",53121,Germany,https://hydrogeneurope.eu/members-locations/#,50.7042394,7.0571932
DWV,"Robert-Koch-Platz 4, Berlin, D-10115, Germany","EU National, Association",D-10115,Germany,https://hydrogeneurope.eu/members-locations/#,52.5278783,13.3794305
E.ON,"Brusseler Platz 1, Essen, 45131, Germany","Industry, Corporate",45131,Germany,https://hydrogeneurope.eu/members-locations/#,51.4253819,6.9946163
EASN TECHNOLOGY INNOVATION SERVICES BV,"TERWEIDENSTRAAT 28, Budingen, 3440, Belgium","Project, Member",3440,Belgium,https://hydrogeneurope.eu/members-locations/#,50.862517,5.102705
Eaton,"Hein-Moeller-Straße 7-11, Bonn, 53115, Germany","Industry, Corporate",53115,Germany,https://hydrogeneurope.eu/members-locations/#,50.735193100000004,7.082524884078214
Eberspächer,"Eberspächerstraße 24, Esslingen, 73730, Germany","Industry, Corporate",73730,Germany,https://hydrogeneurope.eu/members-locations/#,48.7296483,9.3232268
Ecoinnovazione S.r.l.,"""via M. DAzeglio, 51"", Bologna, 40123, Italy","Project, Member",40123,Italy,https://hydrogeneurope.eu/members-locations/#,44.488913,11.339978
Ecolab Europe GmbH,"Richtistrasse 7, Wallisellen, 8304, Switzerland","Industry, Corporate",8304,Switzerland,https://hydrogeneurope.eu/members-locations/#,47.409931,8.590607
ECUBES Technology d.o.o.,"Gradnikove Brigade 49, Nova Gorica, 5000, Slovenia","Industry, Corporate",5000,Slovenia,https://hydrogeneurope.eu/members-locations/#,45.9628939,13.6476246
EFCF,"Obgardihalde 2, Luzern-Adligenswil, CH-6043, Switzerland","Project, Member",CH-6043,Switzerland,https://hydrogeneurope.eu/members-locations/#,47.071345,8.360837
EH Group,"Chemin de la Vigne 2, Prangins, 1197, Switzerland","Industry, Corporate",1197,Switzerland,https://hydrogeneurope.eu/members-locations/#,46.400306,6.243853
EIFHYTEC,"""11 rue de lAcadémie"", Strasbourg, 67000, France","Industry, Corporate",67000,France,https://hydrogeneurope.eu/members-locations/#,48.581766,7.76123
EKPO,"Max-Eyth-Str. 2, Dettingen / Erms, 72581, Germany","Industry, Corporate",72581,Germany,https://hydrogeneurope.eu/members-locations/#,48.512225,9.361446797229174
Elcogen,"Valukoja 23, Tallinn, 11415, Estonia","Industry, Corporate",11415,Estonia,https://hydrogeneurope.eu/members-locations/#,59.4209541,24.81303139959355
Electric Hydrogen Co.,"3 Strathmore Rd, Natick, 1760, United States","Global, Partner",1760,United States,https://hydrogeneurope.eu/members-locations/#,42.29641391356935,-71.38998811231687
Electriq Global,"De Stuwdam 33, Amersfoort, 3815 KM, Netherlands","Industry, Corporate",3815 KM,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.1682344,5.4302746
ELOGEN,"27-29 Avenue Carnot, Massy, 91300, France","Industry, Corporate",91300,France,https://hydrogeneurope.eu/members-locations/#,48.725799,2.262151
Enagás,"Paseo De Los Olmos, Madrid, 28005, Spain","Industry, Corporate",28005,Spain,https://hydrogeneurope.eu/members-locations/#,40.4061145,-3.7110374
EnBW,"Durlacher Allee 93, Karlsruhe, 76131, Germany","Industry, Corporate",76131,Germany,https://hydrogeneurope.eu/members-locations/#,49.0056459,8.4368911
Encevo S.A,"2, Domaine du Schlassgoard, Esch-sur-Alzette, L-4327, Luxembourg","Project, Member",L-4327,Luxembourg,https://hydrogeneurope.eu/members-locations/#,49.499834750000005,5.98972059636664
Energigas Sverige (Swedish Gas Association),"Box 49134, Stockholm, 10029, Sweden","Other Non-, Profit",10029,Sweden,https://hydrogeneurope.eu/members-locations/#,,
Enerjisa Enerji Uretim A.Ş.,"BARBAROS MAH, MY OFFICE İŞ MERKEZİ, ÇİĞDEM, SOK. NO:1/16 ATAŞEHİR, Istanbul, 34746, Türkiye","Industry, Corporate",34746,Türkiye,https://hydrogeneurope.eu/members-locations/#,,
Engie,"Place Samuel De Champlain, Faubourg De L’arche 1, Paris La Defense Cedex, 92930, France","Industry, Corporate",92930,France,https://hydrogeneurope.eu/members-locations/#,48.89559,2.239661
Eni,"Piazzale Enrico Mattei 1, Roma, 144, Italy","Industry, Corporate",144,Italy,https://hydrogeneurope.eu/members-locations/#,38.046223,13.1414591
EnR44,"RUE ROLAND GARROS, ORVAULT, 44700, France","Project, Member",44700,France,https://hydrogeneurope.eu/members-locations/#,47.262308,-1.623108
ENTE VASCO DE LA ENERGÍA,"Alameda de Urquijo, 36, planta 1, Bilbao, 48011, Spain",EU Region,48011,Spain,https://hydrogeneurope.eu/members-locations/#,,
Entwicklungsagentur Region Heide AöR,"Hamburger Hof 3, Heide, 25746, Germany",EU Region,25746,Germany,https://hydrogeneurope.eu/members-locations/#,54.1964804,9.1061664
Equinor,"Bedrijvenlaan 5, Mechelen, 2800, Belgium","Industry, Corporate",2800,Belgium,https://hydrogeneurope.eu/members-locations/#,51.003377,4.466991
ERM FRANCE,"13 RUE FAIDHERBE, Paris, 75011, France","Project, Member",75011,France,https://hydrogeneurope.eu/members-locations/#,48.8516411,2.3834581
ESB,"Two Gateway, East Wall Road, Dublin, D03 A995, Ireland","Industry, Corporate",D03 A995,Ireland,https://hydrogeneurope.eu/members-locations/#,53.3572355,-6.2337635345620495
ESK GmbH,"Florianstrasse 15-21, Dortmund, 44139, Germany","Project, Member",44139,Germany,https://hydrogeneurope.eu/members-locations/#,51.4978601,7.4716388
ESTAMP,"Aire 33, Terrassa, 8227, Spain","Industry, Corporate",8227,Spain,https://hydrogeneurope.eu/members-locations/#,42.478596,-1.023166
Estonian Hydrogen Association,"Valukoja 23, Tallinn, 11415, Estonia","EU National, Association",11415,Estonia,https://hydrogeneurope.eu/members-locations/#,59.4209541,24.81303139959355
Estonian Hydrogen Cluster,"Tiigi tn 61b, Tartu, 50410, Estonia","Other Non-, Profit",50410,Estonia,https://hydrogeneurope.eu/members-locations/#,58.374388,26.710637
Marine Engineering,"HEROON POLYTECHNIOU 9, ZOGRAPHOU CAMPUS, Athens, 15780, Greece","Project, Member",15780,Greece,https://hydrogeneurope.eu/members-locations/#,,
EthosEnergy,"Ethos House Craigshaw Business Park, Craigshaw Road, Aberdeen, AB12 3QH, United Kingdom","Industry, Corporate",AB12 3QH,United Kingdom,https://hydrogeneurope.eu/members-locations/#,57.1263029,-2.0914015
