Name,Address,Phone Number,Website,Email,Latitude,Longitude,Country
BUROTEC CONSULTORÍA TÉCNICA S.L.,AVENIDA CARDENAL HERRERA ORIA 326 A-B MADRID 28035,+34 91 3768950,http://www.burotec.es,info@burotec.es,40.477606,-3.730444,Spain
"CADE SOLUCIONES DE INGENIERÍA, S.L.","Parque Científico y Tecnológico, Paseo de la Innovación, 3, 02006 Albacete",605982513,http://www.cadeengineering.com/,magarcia@cadesoluciones.com,38.997114,-1.852873,Spain
CAPITAL ENERGY,"Paseo del Club Deportivo 1, edif 13, 1º",+34 627 38 32 23,https://capitalenergy.com/,p.moreno@capitalenergy.com,-39.814927,-73.246359,Chile
"CARBUROS METÁLICOS, S.A.","Av. de la Fama, 1, 08940 Cornellà de Llobregat (Barcelona)",932 902 600,https://carburos-metalicos.com/page/xNlyRMED/F08Yqk9fI/h2carburos,romeuaj@carburos.com,41.3540228,2.0813001,Spain
"CENER, Centro Nacional de Energías Renovables","Avda. Ciudad de la Innovación, 7 - 31621 Sarriguren NAVARRA",+34948252800,https://www.cener.com/,igarbayo@cener.com,42.8161547,-1.602188,Spain
"Centro de Investigación en Tecnología, Energía y Sostenibilidad (CITES) de la Universidad de Huelva",Campus La Rábida de la Universidad de Huelva 21819 Palos de la Frontera (HUELVA),619175693,https://citesuhu.com,andujar@uhu.es,37.20148865,-6.920086030660171,Spain
Centro Ibérico de Investigación en Almacenamiento Energético,"Avda. de la Investigación, s/n Ed. PCTEX 06006 BADAJOZ",618040515,https://ciiae.org/,dparra.ciiae@fundecyt-pctex.es,,,
CENTRO NACIONAL DEL HIDRÓGENO,"Prolongación Fernando el Santo, s/n 13500 Puertollano (Ciudad Real)",34926420682,https://www.cnh2.es,carlos.funez@cnh2.es,38.651018,-4.071283,Spain
Centro Tecnológico Energylab,"R/ Fonte das Abelleiras, s/n Campus Universitario de Vigo, 36310, Vigo (Pontevedra)",986120450,https://energylab.es/,energylab@energylab.es,,,
Cepsa S.A.,Paseo de la Castellana 259A,9180377228,https://www.cepsa.com/es,joaquin.rodriguez.j@cepsa.com,40.4757164,-3.687750996760744,Spain
"Cetil Dispensing Technology, S.L.","Pelaya, 37, 28110 Algete (Madrid)",+34609015360,http://www.cetil.com/,p.cabrera@cetil.com,40.593092,-3.5455722,Spain
CETREN,"PASEO DE LA CASTELLANA, 91. PLANTA 10 28046, MADRID",+34686676224,https://www.cetren.es,cetren@cetren.es,40.4506761,-3.6914724,Spain
CIEMAT,"Av. Complutense, 40, 28040 Madrid",913466377,https://www.ciemat.es/,josemaria.sanchez@ciemat.es,40.455309,-3.729482,Spain
Circle Energy,"Avda. Alberto Alcocer 24 , piso 7 , 28036 - Madrid",911091102,https://circle.energy/,info@circle.energy,40.458236,-3.684418,Spain
CLANTECH,"CALLE INDUSTRIA 5, 1ª PLANTA",34955338110,https://www.clantech.es,info@clantecnologica.es,42.211559,2.607867,Spain
CMT-MOTORES TÉRMICOS,"Camino de Vera s/n, 46022, Valencia, España",963879813,https://www.cmt.upv.es/,rinoro@mot.upv.es,39.480987,-0.341354,Spain
CO-AX VÁLVULAS S.L.,"Pol. Ind. Sur, Calle Cancheras, 2. Nave E3-06, 28750, San Agustín de Guadalix, Madrid.",(+)34 685 16 78 07,https://co-ax.com/es/index.php,rmozas.asuncion@co-ax.es,39.036677,-5.874988,Spain
COBRA IS,Cardenal Marcelo Spinola 6- Madrid,+34646401006,http://www.grupocobra.com/,ander.maestro@grupocobra.com,40.466701,-3.670868,Spain
COMEVAL VALVE SYSTEMS,"c/Les Rotes, 15 46540 El Puig Valencia",961 479 008,https://www.comeval.es/en/,enrique.bort@comeval.es,,,
Confederación Española de Empresarios de Estaciones de Servicio (CEEES),"Calle de Núñez de Balboa, 116, 3ª planta, 28006 Madrid",+34657270626,http://www.ceees.com/,nacho.rabadan@ceees.com,40.4371769,-3.6816333,Spain
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS (CSIC),"C/ Serrano, 117. 28006 Madrid",915854863,https://www.csic.es/,mapena@icp.csic.es,,,
Copenhaguen Infrastructure Partners,"C/ Ruiz 26, 2 Izqda. 28010, Madrid",+34628280064,https://cipartners.dk/,jpm@cisc.dk,,,
Cummins Inc.,"Nijverheidsstraat 48c B-2260 Oevel, Belgium",+324799009129,http://cummins.com/hydrogen,denis.thomas@cummins.com,51.1445645,4.8974884,Belgium
DARGON ENERGY,"Paseo de la Castellana número 18, Planta 7, Madrid CP:28046",665988362,https://www.dargonenergy.com/index.php/es/,jtielas@dargonenergy.com,40.4286343,-3.6889964,Spain
DASSAULT SYSTÈMES,"Calle Estébanez Calderón 3-5, Planta 3. Madrid 28020",+34915467149,http://www.3ds.com,jlz3@3ds.com,40.4633444,-3.6906837,Spain
DEKRA,"C/ Calabozos, 12    28108 Alcobendas (Madrid)",961366814,https://www.dekra.es/es/consultoria-de-seguridad-de-procesos/,gabriel.rojas@dekra.com,,,
"DEPARTAMENTO DE INDUSTRIA, COMPETITIVIDAD Y DESARROLLO EMPRESARIAL. GOBIERNO DE ARAGÓN","Edificio Pignatelli, Pº María Agustín, 36, 50004 Zaragoza",976714733,https://www.aragon.es,dgipyme@aragon.es,41.652983,-0.891749,Spain
DEUTZ SPAIN SAU,Ctra. Badajoz Granada km 74.600 06300 Zafra Badajoz,639046920,https://www.deutz.com/en/,antonio.bueno@deutz.com,38.43453,-6.4247,Spain
DH2 Energy,"Calle Almagro 31, 3º - 28010, Madrid",91 999 37 54,http://www.dh2energy.com/,info@dh2energy.com,40.4324742,-3.6917199,Spain
Distron,"Calle Coeters 7, 46980 Paterna (Valencia)",963568720,https://distron.es/,marcomartinez@distron.es,39.36863,-0.430739,Spain
Diverxia Infrastructure,P.E Táctica C/Botiguers 3 Ed. Onofre 2ºC Paterna (Valencia),+34902565274,https://www.diverxia.net/es/inicio,info@diverxia.net,,,
DNV,"Santa Maria Magdalena 14, 28016 Madrid, España",+34606309371,http://www.dnv.com,yerun.fernandez@dnv.com,40.462227,-3.669962,Spain
Dräger Safety,"Calle Xaudaró nº 5, 28034 de Madrid",900 11 64 24,https://www.draeger.com/es_es/Home,Dionisio.Martinez@draeger.com,40.489112,-3.689135,Spain
Duro Felguera Green Tech S.A.,"Parque Cientifico Tecnologico, Ada Byron 90, 33203 - Gijón - Asturias (Spain)",+34 985199000,https://www.durofelguera.com/,comercial.dfgreentech@durofelguera.com,43.52041745,-5.608033974328192,Spain
ECOINTEGRAL INGENIERÍA,"Calle Imprenta de la Alborada, S/N. Parcela 124-D Polígono Industrial Las Quemadas 14014 Córdoba (+34 900 921 929)",697 177 120,https://ecointegral.com,antonio.arce@ecointegral.com,37.899333,-4.721315,Spain
EDF PENINSULA IBERICA,"C/Velázquez, 50, 2 Madrid 28001",911250829,http://edf.fr/,ana.gil@edf-iberica.es,,,
EDP España,"Plaza del Fresno, 2, 33007, Oviedo, Asturias",902830100,https://espana.edp.com/es,lsantos@edp.com,43.3579622,-5.851864584091847,Spain
EHS Techniques,"Juan Bravo, 49",918526696,http://www.ehstechniques.com/,info@ehstechniques.com,40.432788,-3.676343,Spain
Elawan Energy SL,"C/ Ombú número 3, 6a Planta, Madrid",+34 91 636 19 94,https://www.elawan.com/en/,javier.cangas@elawan.com,,,
ELECNOR SERVICIOS Y PROYECTOS,"C/ MARQUES DE MONDEJAR 33, MADRID",660483366,https://www.elecnor.com/,anrodriguez@elecnor.com,,,
Electro Drives S.L.,"Calle Iniciativa, 2  28906 Getafe (Madrid)",914 388 332,http://www.electrodrives.es/,electrodrives@electrodrives.es,40.322069,-3.680189,Spain
Elogen,"8 avenue du Parana, 91940 Les Ulis",+33 7 65 16 39 75,https://elogenh2.com/en/,pierre.gonsolin@elogenh2.com,48.680339,2.199973,France
"Elyse Energy Ibérica, S.L.U.","C/ Orense, 70 planta 11 28020 Madrid",+34677927727,https://elyse.energy/es/,cprestamo@elyse.energy,,,
Emerson,Francisco Gervás 1 ( Alcobendas) 28108,661562134,https://www.emerson.com/es-es/automation/home,joaquin.fernandez@emerson.com,40.532794,-3.652175,Spain
Empresarios Agrupados,"Calle Magallanes,3 28015 Madrid",913098000 ext 7272,https://www.empresariosagrupados.es/,jlayuso@empre.es,40.432849,-3.705944,Spain
ENAGÁS RENOVABLE,"c/ Titán, n.º 8 28045 Madrid",628376186,https://enagasrenovable.es/,info@enagasrenovable.es,,,
ENAGAS SA,.,.,https://www.enagas.es/es/,jrubio@enagas.es,,,
ENAIRE,.,.,https://www.enaire.es/home,gharo@enaire.es,,,
"Endesa, S.A.","Calle Ribera del Loira 60, 28042 Madrid",912131000,https://www.endesa.com,prensa@endesa.es,40.4596282,-3.618120166232899,Spain
ENERFIN SOCIEDAD DE LA ENERGÍA S.L,"Cuzco IV, Pº de la Castellana 141, 28046, Madrid",664543676,https://www.enerfin.es/,ediaz.enerfin@elecnor.es,40.4597699,-3.690686014080823,Spain
EnerHi,Calle de Alcalá 96 2D. 28009. Madrid,919075915,https://enerhi.com/,l.monsalve@enerhi.com,40.424342,-3.676234,Spain
ENERTRAG SE,"C/ Francisco Silvela 42, 29028 Madrid",+49-1520-9336621,https://enertrag.com,matthias.schmidt@enertrag.com,,,
ENGIE BU HYDROGÈNE,"1 Place Samuel de Champlain, 92400, Courbevoie, Île de France",,,example@example.es,48.89559,2.239661,France
ENTE VASCO DE LA ENERGÍA,"Alameda de Urquijo, 36, 48011 Bilbao",608010138,https://www.eve.eus/,jmfernandez@eve.eus,43.2604539,-2.9368329,Spain
EPM GAS TECHNOLOGY,C/. DE LA MORA 52. 08918 BADALONA (BARCELONA),934245356,https://epmgastech.com/,sjove@epmgastech.com,,,
ERM IBERIA SAU,"Paseo de la Castellana, 257 - 2º 28046 Madrid",+34 674 173 749,https://www.erm.com/,Paola.Quijano@erm.com,40.4746778,-3.6876214,Spain
Esparity Solar,"Pl. América 2. Ed. América, planta 8. 46004 Valencia.",+34663220325,http://www.esparitysolar.com,eugenia@esparitysolar.com,39.469578,-0.364978,Spain
"EVARM INNOVACIÓN, S.L.","C/ Doctor Josep Castells 34-A, 08830, Sant Boi de Llobregat, Barcelona",,,info@evarm.com,,,
EVECTRA MOBILITY SERVICES S.L.,"Passatge de Masoliver, 32, 08005 Barcelona",+34 931122576,https://evectra.com/,info@evectra.com,41.3990024,2.1984177,Spain
Everoze SP,"Impact Hub Picasso, Plaza Pablo Ruiz Picasso, 1, 28020 Madrid, España",+44 7809 41 71 39,http://www.everoze.com/,contact@everoze.com,40.4502783,-3.6928216,Spain
"EVO, S.L.","Avenida De La Ingeniería,9 Bloque 8 E-41015 Sevilla (España)",+34 954 914 228,https://evo-syn.com/,evo-info@evo-syn.com,37.427542,-5.971779007601128,Spain
Evos Algeciras SAU,"Explanada Isla Verde Exterior, S/N. 11207 Algeciras (Cádiz)+34 956.022.424",+34 956.022.424,https://evos.eu,belen.gestoso@evos.eu,36.112999,-5.444509,Spain
EXOLUM,"Calle Titán 8, Instalaciones de Méndez Álvaro First, Despacho 316, 28045, Madrid",,,info@exolum.com,40.391947,-3.678905,Spain
"EY TRANSFORMA SERVICIOS DE CONSULTORÍA, S.L.",.,.,https://www.ey.com/en_es,Jaime.Moreton.Poch@es.ey.com,,,
FBB PARTNERS,Felipe Campos 19 - 1 izquierda 28002 Madrid,.,http://www.fbbpartners.com/,info@fbbpartners.com,40.443354,-3.68076,Spain
"FONDON REDES Y FLUIDOS, SL","Pol. Bankunion II, Avda Gijon-Veriña 5 - CP 33211 - Gijón (Asturias)",985310351,https://fondonglobal.com/,hidrogeno@fondon.org,43.404851,-5.807614,Spain
Font Corporation Global Trade and Investment S.L,"World Trade Centre Zaragoza (WTCZ), María Zambrano 31, West Tower, 15th Floor, 50018 Zaragoza, Spain",(+34) 976 011 419,https://www.fontcorporation.com/,shengchunyu@fontcorporation.com,41.6680132,-0.8884953675350886,Spain
FRV,"Calle Maria de Molina, 40, 28006, Madrid, España",+34 91 319 12 90,https://frv.com/servicios/frv-x/,FRVSpain@frv.com,40.437292,-3.682767,Spain
FUNDACIÓN CIDAUT,"Parque Tecnológico de Boecillo, Plaza Vicente Aleixandre Campos nº 2 47151 Boecillo (Valladolid) Spain",983548035,https://www.cidaut.es,info@cidaut.es,41.540643,-4.699678,Spain
FUNDACIÓN IMDEA ENERGÍA,"Av. Ramón de La Sagra, 3, 28935 Móstoles, Madrid",34 917371154,https://www.energia.imdea.org/,felix.marin@imdea.org,40.339782,-3.881013,Spain
FUNDACIÓN PARA EL DESARROLLO DE LAS NUEVAS TECNOLOGÍAS DEL HIDRÓGENO EN ARAGÓN,"Parque Técnológico Walqa, N-330 Km 566, 22197 Cuarte (Huesca)",635630431,https://hidrogenoaragon.org/es/,mmartinez@hidrogenoaragon.org,19.0352406,-98.31699040399587,Mexico
FUNDACIÓN TEKNIKER,.,.,https://www.tekniker.es/es,eva.gutierrez@tekniker.es,,,
GAEVE EXP IMP SL,Av/ Corts Catalanes 5-7 08173  Sant Cugat del Vallés,+34609757553,http://www.gaeve.com/,info@gaeve.com,,,
"GAS ECO SUMINISTROS, S.L",c/ Igarsa nº 2 28860 Paracuellos de Jarama (Madrid),619445218,http://gasecosuministros.com/es/,agonzalez@gasecosuministros.com,40.503282,-3.547658,Spain
GEA ENERGÍA CRIO S.L.,C/ TRAMUNTANA 2 A CP 25600 BALAGUER -SPAIN,+34973450712,https://www.gecrio.com,info@gecrio.com,42.156684,2.988445,Spain
Generaciones Fotovoltaicas de La Mancha S.L.,"Calle Las Cabezas, 16, Villacañas (Toledo), 45860",+34 925195784,https://www.gfmfotovoltaica.com/,info@gfmfotovoltaica.com,39.615663,-3.356325,Spain
GENERAL COMPANY H2 GREEN S.L.,"C/CORREDERA , 76 41710 Utrera (Sevilla)",626486082,http://gecoh2green.com/,mlopez@loalnet.com,37.185864,-5.786333,Spain
Genesal Energy IB SA,"C/ Parroquia de Rois, parcela B28 Polígono Industrial de Bergondo  15165 Bergondo (A Coruña)",981 674 158,http://www.genesalenergy.com,consultas@genesal.com,,,
"Gesintia, S.L.L.","C/ Aiguaders, nº 15. Polígono Industrial Cotes. 46680 Algemessí (Valencia)",655 851 342,https://gesintia.com/,inma.gomez@gesintia.com,39.186069,-0.425856,Spain
GHENOVA,"Avenida San Francisco Javier, 20, Planta 2, 41018, Sevilla",(+34) 677 90 19 58,https://www.ghenova.com/en/ghenovaen/,maria.duque@ghenova.com,37.380188,-5.974861,Spain
Gilbarco Veeder-Root,"Ferdinand-Henze-Straße 9, 33154 Salzkotten, Germany",+44 (0) 7977 293768,https://www.gilbarco.com/eu/,nick.power@gilbarco.com,51.671359,8.595679,Germany
Grenergy Renovables,"C/ de Rafael Botí 26, 28023 Madrid",690179968,https://grenergy.eu/,jespelta@grenergy.eu,,,
Grupo DISA,"C Fomento 7, 1ª planta, oficina nº 1, 38003 Santa Cruz de Tenerife",922238756,https://www.disagrupo.es/,eva.delgado@disagrupo.es,28.314817,-16.4080643,Spain
GRUPO IBEREÓLICA RENOVABLES,Pº Marqués de Zafra nº5  28028 – Madrid (España),+34 91 557 05 66,https://www.grupoibereolica.com/,gac@grupoibereolica.com,40.427,-3.668086,Spain
Gunvor Group Ltd,calle Balbina Valverde 17 - 28002 Madrid,34619010830,https://gunvorgroup.com/en/,manel.avella@gunvorgroup.com,40.448102,-3.689291,Spain
H-TEC SYSTEMS,"Calle Pedro Teixeira 8, 10º   28020 Madrid, Spain",+34 689 596 081,https://www.h-tec.com/en/,j.menendez@h-tec.com,40.4549825,-3.6942364,Spain
H2 CLIPPER INC.,.,.,https://www.h2clipper.com/,jerryb@h2clipper.com,,,
H2 to Market,"Avenida Alberto Alcocer 24, piso 7.28043 Madrid",+34722686816,http://www.h2tomarket.com,sbiosca@h2tomarket.com,40.458236,-3.684418,Spain
H2B2 ELECTROLYSIS TECHNOLOGIES S.L.,Calle Fortuny 19 entreplanta. 28010 Madrid,670496428,https://h2b2.es/,info@h2b2.es,40.430133,-3.69118,Spain
H2GREEM GLOBAL SOLUTIONS SL,Calle Titán 8,+34 628 759 643,https://www.h2greem.com,lsacristan@h2greem.com,40.391947,-3.678905,Spain
H2Vector Energy Technologies S.L.,"Parque Tecnológico de Asturias. Edificio CEEI.33428-Llanera, Asturias",+34 644 79 12 95,http://www.h2vector.com,info@h2vector.com,43.421794,-5.820191,Spain
HAFFNER ENERGY,"2, Place de la Gare 51300 Vitry-le-François (Francia)",+33 7 86 62 04 71,https://www.haffner-energy.com/?lang=en,didier.legoic@haffner-energy.com,48.7181574,4.586041,France
"HASKEL SISTEMAS DE FLUIDOS ESPAÑA, S.R.L.","Haskel Sistemas de Fluidos España, S.R.L. - Pº Ubarburu, 81 Edificio 5 - Planta 1ª Locales 1 y 2. Polígono 27. Martutene 20115 Astigarraga (Gipuzkoa)",666204343,https://www.haskel.es,pablo.merino@haskel.com,,,
"HEROSE IBERICA, S.L.","C/ Aragó, 208-210 7º 6ª - 08011 Barcelona",930 02 83 28,http://www.herose.es,judit.donoso@herose.es,,,
Hidrógeno Circular SL,"C/ Martín y Soler 18, Elche Parque Industrial 03203 Elche (Alicante)",+34646295995,https://greene.es/,jmma@greene.es,38.2941177,-0.6191207,Spain
HIDRÓGENO VERDE RENOVABLE SL (HVR energy),"Zurbano, 45 1º - 28010 Madrid",(+34) 913.269.402,https://www.hvrenergy.com,info@hvrenergy.com,40.434146,-3.693481,Spain
"HIDRONA GEA, S.L.","Carretera San Javier a Cartagena, km 24,3. 30353 Torreciega (Cartagena)",968505937,https://grupogeaperona.com,hidronagea@hidronagea.com,37.686327,-0.8349,Spain
HINE GROUP,"Pol. Ind. Altune nº 6010, Pab.7 20212 Olaberria (Gipuzkoa)",943 162 020,http://www.hinegroup.com,es-hre@hinegroup.com,43.0328938,-2.2194421,Spain
"HIPERBARIC, S.A.","Calle del Condado de Treviño, 628033 Madrid",600466930 / 947473874,http://www.hiperbaric.com/,IDi@hiperbaric.com,,,
HIS Hydrogreen,C/ Fernández Llamazares 34. 28043 Madrid,+34722686816,http://www.hishydrogreen.es/,s.biosca@hishydrogreen.es,,,
HISPALYT,"C/ Orense, 10 2ª - Oficinas 13 y 14 - 28020 MADRID",91 770 94 80,http://www.hispalyt.es/,hispalyt@hispalyt.es,,,
HOLTROP S.L.P. TRANSACTION & BUSINESS LAW,"Vía Augusta, 10, 3º, 08006, Barcelona",699235194,https://holtropblog.com/es/,mariaferrer@holtropslp.com,41.3966208,2.1552373,Spain
HORIZONS,.,.,https://www.horizons-energy.com/renewables/,felix.guillen@horizons.energy,,,
HYDAC TECHNOLOGY SL,"Solsones, 54, 08211, Castellar del Vallès (Barcelona)",677400682,https://www.hydac.com/es-es/,rodrigo.gonzalez@hydac.es,41.5936515,2.0941361,Spain
Hydrogen Refueling Solutions,Zone Artisanale des Viallards 38560 Champ- sur - Drac FRANCIA,684467149,https://www.hydrogen-refueling-solutions.fr/?lang=en,t.vincendon@h-r-s.fr,45.07838555,5.75114921780818,France
Hydrogreen Energy,"Avenida de la Industria, 13-15 Polígono Industrial Canastell 03690 San Vicente del Raspeig (Alicante)",652268484,http://www.hydrogreenergy.com/,bd@hydrogreenergy.com,36.425523,-6.150654,Spain
HYPERION RENEWABLES,.,.,https://hyperionrenewables.com/,mpl@hyperionrenewables.com,,,
"HYREN RENOVABLES, S.L.U.","c/Alcalá, n.º 81 28009 MADRID",91 368 74 42,http://www.hyren.es/,c.navas@hyren.es,,,
