Name,Address,Phone Number,Website,Email
Aon,"C/ Velázquez, 86d - 28006 Madrid",+34 686 69 74 97,http://www.aon.com,jose.angel.pagola@aon.es
Applus+,"Calle Campezo 1, Parque Empresarial Las Mercedes, edificio 3",91 208 08 00,https://www.applus.com/global/en/,info@applusnorcontrol.com
ARCAMO GROUP,"Pol. Indl. Riu Clar c/del Cobre Parcela 167, 43006, Tarragona",-,https://www.arcamo.com/,arcamo@arcamo.com
ARENA,"Edificio Insur Cartuja, Calle Albert Einstein, s/n, 5ª planta, 41092, Sevilla, España",611680672,http://www.arenapower.com/,pelayo.dominguez@arenapower.com
ARIEMA ENERGÍA Y MEDIOAMBIENTE S.L.,"C/ Ronda de Poniente 15, 1º Planta Izquierda B  28760 Tres Cantos, Madrid",+34 91 804 53 72 / +34 91 241 95 31,https://www.ariema.com,juan.gomezvalero@ariema.com
"Arizaga, Bastarrica y Cía, S.A.",20600,943820400,http://www.abc-compressors.com,larizaga@abc-compressors.com
ARVENG TRAINING & ENGINEERING,"Av. de Manoteras, 10. Edificio B, Oficina 111, Madrid (28050), España.",+34 913408851,https://arvengtraining.com/,info@arvenggroup.com
Asea Brown Boveri S.A.,"San Romualdo 13, 28037, Madrid",+34680291551,https://new.abb.com/es,jose-alfonso.almansa@es.abb.com
"Asistencia Técnica Industrial Asturiana, S.A.",C/José Llama Fdez Nº12 Pol. Somonte 33393 Gijón Asturias,985 30 12 50,https://www.atei-sa.es/,tecnico@atei-sa.com
ASMAIN,28223,+34670581994,http://www.asmain.com,asmain@asmain.com
Asociación Sectorial del Hidrógeno Verde de la Región de Murcia AHMUR,Calle Gabriel Campillo s/n  Polígono Industrial La Serreta 30500 Molina de Segura,968520361,http://www.ahmur.org,secretaria.tecnica@ahmur.org
ATAWEY SAS,"Calle Serrano 110, 28006, Madrid",+34 636396239,http://atawey.com,n.prieto@atawey.com
Atlantica Sustainable Infrastructure,"Calle Francisco Silvela 42, 28028 Madrid",+34 913300695,https://www.atlantica.com,monica.insua@atlantica.com
Avalon Renovables,"Calle Alfonso XII, nº 20, 28014, Madrid",91 517 35 70,http://www.avalonrenovables.com/,activos@avalonrenovables.com
AVL IBÉRICA S.A.,"Paseo Arco de Ladrillo 68 planta 5, E-47007 Valladolid",+34 983 548 073,https://www.avl.com,electrificacion@avl.com
AYESA Ingeniería y Arquitectura,AVDA MARIE CURIE 2 EDIFICIO AYESA 41092 SEVILLA,954467046,http://www.ayesa.com/,jagarcia@ayesa.com
Baltimore Aircoil Int nv,"Carretera de Fuencarral, 44 CAMPUS TRIBECA Edificio 1 Bajo izquierda",+34651861565,https://baltimoreaircoil.eu/es,jcastejonlopez@baltimoreaircoil.com
"BASE SISTEMAS Y SUMINISTROS, S.A.","Plataforma Logística PLAZA, Avenida Diagonal 14, Nave 16, 50197 ZARAGOZA",976587019,http://www.basesistemas.com/,administracion@basesistemas.com
BATERÍAS SOLARES ESPAÑA S.L,"C/ Juan Carlos I. 31. Local. 28660. Boadilla del Monte, Madrid",+34 635961079,https://www.bsspain.com,info@bsspain.com
BAYWARE,.,.,https://www.baywa-re.es/es/,maria.santamaria@baywa-re.com
Benbros Energy,"C/ GUSTAVO FERNANDEZ BALBUENA, 11 28002 MADRID",672250253,http://benbros.es/,inigo.benjumea@benbros.es
"BILOGISTIK, S.A.","Avenida Iparragirre ( ADIF), 58 - PISO 1, SANTURTZI, BIZKAIAterminal Ferroviaria",660960337,https://www.bilogistik.com/,ibon@bilogistik.com
Bollfilter España S.L.U.,"Paseo del Ferrocarril, 339, 3-2",936342680,https://www.bollfilter.com/es/,Uwe.Beck@bollfilter.com
Bosch España,"Av. de la Institución Libre de Enseñanza, 19, 28037 Madrid",630340653,https://www.bosch.com/,joseantonio.garcia@es.bosch.com
bp Energía España,"Calle Quintanadueñas, 6 (Edificio Arqborea), 2º. 28050. Madrid",+34664370011,http://www.bp.com/es,sagrari.miguel_montalva@bp.com
BUREAU VERITAS,"Calle Valportillo Primera, 22-24, Edificio Caoba, Pol. Ind. La Granja, 28108 Alcobendas, Madrid",-,https://www.bureauveritas.es,
Burkert Ibérica S.A.U.,"Avda. Barcelona 40A, 08970 Sant Joan Despí",934777980,https://www.burkert.es/es,info.spain@burkert.com
BUROTEC CONSULTORÍA TÉCNICA S.L.,AVENIDA CARDENAL HERRERA ORIA 326 A-B MADRID 28035,+34 91 3768950,http://www.burotec.es,info@burotec.es
"CADE SOLUCIONES DE INGENIERÍA, S.L.","Parque Científico y Tecnológico, Paseo de la Innovación, 3, 02006 Albacete",605982513,http://www.cadeengineering.com/,magarcia@cadesoluciones.com
CAPITAL ENERGY,"Paseo del Club Deportivo 1, edif 13, 1º",+34 627 38 32 23,https://capitalenergy.com/,p.moreno@capitalenergy.com
"CARBUROS METÁLICOS, S.A.","Av. de la Fama, 1, 08940 Cornellà de Llobregat (Barcelona)",932 902 600,https://carburos-metalicos.com/page/xNlyRMED/F08Yqk9fI/h2carburos,romeuaj@carburos.com
"CENER, Centro Nacional de Energías Renovables","Avda. Ciudad de la Innovación, 7 - 31621 Sarriguren NAVARRA",+34948252800,https://www.cener.com/,igarbayo@cener.com
"Centro de Investigación en Tecnología, Energía y Sostenibilidad (CITES) de la Universidad de Huelva",Campus La Rábida de la Universidad de Huelva 21819 Palos de la Frontera (HUELVA),619175693,https://citesuhu.com,andujar@uhu.es
Centro Ibérico de Investigación en Almacenamiento Energético,"Avda. de la Investigación, s/n Ed. PCTEX 06006 BADAJOZ",618040515,https://ciiae.org/,dparra.ciiae@fundecyt-pctex.es
CENTRO NACIONAL DEL HIDRÓGENO,"Prolongación Fernando el Santo, s/n 13500 Puertollano (Ciudad Real)",34926420682,https://www.cnh2.es,carlos.funez@cnh2.es
Centro Tecnológico Energylab,"R/ Fonte das Abelleiras, s/n Campus Universitario de Vigo, 36310, Vigo (Pontevedra)",986120450,https://energylab.es/,energylab@energylab.es
Cepsa S.A.,Paseo de la Castellana 259A,9180377228,https://www.cepsa.com/es,joaquin.rodriguez.j@cepsa.com
"Cetil Dispensing Technology, S.L.","Pelaya, 37, 28110 Algete (Madrid)",+34609015360,http://www.cetil.com/,p.cabrera@cetil.com
CETREN,"PASEO DE LA CASTELLANA, 91. PLANTA 10 28046, MADRID",+34686676224,https://www.cetren.es,cetren@cetren.es
CIEMAT,"Av. Complutense, 40, 28040 Madrid",913466377,https://www.ciemat.es/,josemaria.sanchez@ciemat.es
Circle Energy,"Avda. Alberto Alcocer 24 , piso 7 , 28036 - Madrid",911091102,https://circle.energy/,info@circle.energy
CLANTECH,"CALLE INDUSTRIA 5, 1ª PLANTA",34955338110,https://www.clantech.es,info@clantecnologica.es
CMT-MOTORES TÉRMICOS,"Camino de Vera s/n, 46022, Valencia, España",963879813,https://www.cmt.upv.es/,rinoro@mot.upv.es
CO-AX VÁLVULAS S.L.,"Pol. Ind. Sur, Calle Cancheras, 2. Nave E3-06, 28750, San Agustín de Guadalix, Madrid.",(+)34 685 16 78 07,https://co-ax.com/es/index.php,rmozas.asuncion@co-ax.es
COBRA IS,Cardenal Marcelo Spinola 6- Madrid,+34646401006,http://www.grupocobra.com/,ander.maestro@grupocobra.com
COMEVAL VALVE SYSTEMS,"c/Les Rotes, 15 46540 El Puig Valencia",961 479 008,https://www.comeval.es/en/,enrique.bort@comeval.es
Confederación Española de Empresarios de Estaciones de Servicio (CEEES),"Calle de Núñez de Balboa, 116, 3ª planta, 28006 Madrid",+34657270626,http://www.ceees.com/,nacho.rabadan@ceees.com
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS (CSIC),"C/ Serrano, 117. 28006 Madrid",915854863,https://www.csic.es/,mapena@icp.csic.es
Copenhaguen Infrastructure Partners,"C/ Ruiz 26, 2 Izqda. 28010, Madrid",+34628280064,https://cipartners.dk/,jpm@cisc.dk
Cummins Inc.,"Nijverheidsstraat 48c B-2260 Oevel, Belgium",+324799009129,http://cummins.com/hydrogen,denis.thomas@cummins.com
DARGON ENERGY,"Paseo de la Castellana número 18, Planta 7, Madrid CP:28046",665988362,https://www.dargonenergy.com/index.php/es/,jtielas@dargonenergy.com
DASSAULT SYSTÈMES,"Calle Estébanez Calderón 3-5, Planta 3. Madrid 28020",+34915467149,http://www.3ds.com,jlz3@3ds.com
DEKRA,"C/ Calabozos, 12    28108 Alcobendas (Madrid)",961366814,https://www.dekra.es/es/consultoria-de-seguridad-de-procesos/,gabriel.rojas@dekra.com
"DEPARTAMENTO DE INDUSTRIA, COMPETITIVIDAD Y DESARROLLO EMPRESARIAL. GOBIERNO DE ARAGÓN","Edificio Pignatelli, Pº María Agustín, 36, 50004 Zaragoza",976714733,https://www.aragon.es,dgipyme@aragon.es
DEUTZ SPAIN SAU,Ctra. Badajoz Granada km 74.600 06300 Zafra Badajoz,639046920,https://www.deutz.com/en/,antonio.bueno@deutz.com
DH2 Energy,"Calle Almagro 31, 3º - 28010, Madrid",91 999 37 54,http://www.dh2energy.com/,info@dh2energy.com
Distron,"Calle Coeters 7, 46980 Paterna (Valencia)",963568720,https://distron.es/,marcomartinez@distron.es
Diverxia Infrastructure,P.E Táctica C/Botiguers 3 Ed. Onofre 2ºC Paterna (Valencia),+34902565274,https://www.diverxia.net/es/inicio,info@diverxia.net
DNV,"Santa Maria Magdalena 14, 28016 Madrid, España",+34606309371,http://www.dnv.com,yerun.fernandez@dnv.com
Dräger Safety,"Calle Xaudaró nº 5, 28034 de Madrid",900 11 64 24,https://www.draeger.com/es_es/Home,Dionisio.Martinez@draeger.com
Duro Felguera Green Tech S.A.,"Parque Cientifico Tecnologico, Ada Byron 90, 33203 - Gijón - Asturias (Spain)",+34 985199000,https://www.durofelguera.com/,comercial.dfgreentech@durofelguera.com
ECOINTEGRAL INGENIERÍA,"Calle Imprenta de la Alborada, S/N. Parcela 124-D Polígono Industrial Las Quemadas 14014 Córdoba (+34 900 921 929)",697 177 120,https://ecointegral.com,antonio.arce@ecointegral.com
EDF PENINSULA IBERICA,"C/Velázquez, 50, 2 Madrid 28001",911250829,http://edf.fr/,ana.gil@edf-iberica.es
EDP España,"Plaza del Fresno, 2, 33007, Oviedo, Asturias",902830100,https://espana.edp.com/es,lsantos@edp.com
EHS Techniques,"Juan Bravo, 49",918526696,http://www.ehstechniques.com/,info@ehstechniques.com
Elawan Energy SL,"C/ Ombú número 3, 6a Planta, Madrid",+34 91 636 19 94,https://www.elawan.com/en/,javier.cangas@elawan.com
ELECNOR SERVICIOS Y PROYECTOS,"C/ MARQUES DE MONDEJAR 33, MADRID",660483366,https://www.elecnor.com/,anrodriguez@elecnor.com
Electro Drives S.L.,"Calle Iniciativa, 2  28906 Getafe (Madrid)",914 388 332,http://www.electrodrives.es/,electrodrives@electrodrives.es
Elogen,"8 avenue du Parana, 91940 Les Ulis",+33 7 65 16 39 75,https://elogenh2.com/en/,pierre.gonsolin@elogenh2.com
"Elyse Energy Ibérica, S.L.U.","C/ Orense, 70 planta 11 28020 Madrid",+34677927727,https://elyse.energy/es/,cprestamo@elyse.energy
Emerson,Francisco Gervás 1 ( Alcobendas) 28108,661562134,https://www.emerson.com/es-es/automation/home,joaquin.fernandez@emerson.com
Empresarios Agrupados,"Calle Magallanes,3 28015 Madrid",913098000 ext 7272,https://www.empresariosagrupados.es/,jlayuso@empre.es
ENAGÁS RENOVABLE,"c/ Titán, n.º 8 28045 Madrid",628376186,https://enagasrenovable.es/,info@enagasrenovable.es
ENAGAS SA,.,.,https://www.enagas.es/es/,jrubio@enagas.es
ENAIRE,.,.,https://www.enaire.es/home,gharo@enaire.es
"Endesa, S.A.","Calle Ribera del Loira 60, 28042 Madrid",912131000,https://www.endesa.com,prensa@endesa.es
ENERFIN SOCIEDAD DE LA ENERGÍA S.L,"Cuzco IV, Pº de la Castellana 141, 28046, Madrid",664543676,https://www.enerfin.es/,ediaz.enerfin@elecnor.es
EnerHi,Calle de Alcalá 96 2D. 28009. Madrid,919075915,https://enerhi.com/,l.monsalve@enerhi.com
ENERTRAG SE,"C/ Francisco Silvela 42, 29028 Madrid",+49-1520-9336621,https://enertrag.com,matthias.schmidt@enertrag.com
ENGIE BU HYDROGÈNE,"1 Place Samuel de Champlain, 92400, Courbevoie, Île de France",,,example@example.es
ENTE VASCO DE LA ENERGÍA,"Alameda de Urquijo, 36, 48011 Bilbao",608010138,https://www.eve.eus/,jmfernandez@eve.eus
EPM GAS TECHNOLOGY,C/. DE LA MORA 52. 08918 BADALONA (BARCELONA),934245356,https://epmgastech.com/,sjove@epmgastech.com
ERM IBERIA SAU,"Paseo de la Castellana, 257 - 2º 28046 Madrid",+34 674 173 749,https://www.erm.com/,Paola.Quijano@erm.com
Esparity Solar,"Pl. América 2. Ed. América, planta 8. 46004 Valencia.",+34663220325,http://www.esparitysolar.com,eugenia@esparitysolar.com
"EVARM INNOVACIÓN, S.L.","C/ Doctor Josep Castells 34-A, 08830, Sant Boi de Llobregat, Barcelona",,,info@evarm.com
EVECTRA MOBILITY SERVICES S.L.,"Passatge de Masoliver, 32, 08005 Barcelona",+34 931122576,https://evectra.com/,info@evectra.com
Everoze SP,"Impact Hub Picasso, Plaza Pablo Ruiz Picasso, 1, 28020 Madrid, España",+44 7809 41 71 39,http://www.everoze.com/,contact@everoze.com
"EVO, S.L.","Avenida De La Ingeniería,9 Bloque 8 E-41015 Sevilla (España)",+34 954 914 228,https://evo-syn.com/,evo-info@evo-syn.com
Evos Algeciras SAU,"Explanada Isla Verde Exterior, S/N. 11207 Algeciras (Cádiz)+34 956.022.424",+34 956.022.424,https://evos.eu,belen.gestoso@evos.eu
EXOLUM,"Calle Titán 8, Instalaciones de Méndez Álvaro First, Despacho 316, 28045, Madrid",,,info@exolum.com
"EY TRANSFORMA SERVICIOS DE CONSULTORÍA, S.L.",.,.,https://www.ey.com/en_es,Jaime.Moreton.Poch@es.ey.com
FBB PARTNERS,Felipe Campos 19 - 1 izquierda 28002 Madrid,.,http://www.fbbpartners.com/,info@fbbpartners.com
"FONDON REDES Y FLUIDOS, SL","Pol. Bankunion II, Avda Gijon-Veriña 5 - CP 33211 - Gijón (Asturias)",985310351,https://fondonglobal.com/,hidrogeno@fondon.org
Font Corporation Global Trade and Investment S.L,"World Trade Centre Zaragoza (WTCZ), María Zambrano 31, West Tower, 15th Floor, 50018 Zaragoza, Spain",(+34) 976 011 419,https://www.fontcorporation.com/,shengchunyu@fontcorporation.com
FRV,"Calle Maria de Molina, 40, 28006, Madrid, España",+34 91 319 12 90,https://frv.com/servicios/frv-x/,FRVSpain@frv.com
FUNDACIÓN CIDAUT,"Parque Tecnológico de Boecillo, Plaza Vicente Aleixandre Campos nº 2 47151 Boecillo (Valladolid) Spain",983548035,https://www.cidaut.es,info@cidaut.es
FUNDACIÓN IMDEA ENERGÍA,"Av. Ramón de La Sagra, 3, 28935 Móstoles, Madrid",34 917371154,https://www.energia.imdea.org/,felix.marin@imdea.org
FUNDACIÓN PARA EL DESARROLLO DE LAS NUEVAS TECNOLOGÍAS DEL HIDRÓGENO EN ARAGÓN,"Parque Técnológico Walqa, N-330 Km 566, 22197 Cuarte (Huesca)",635630431,https://hidrogenoaragon.org/es/,mmartinez@hidrogenoaragon.org
FUNDACIÓN TEKNIKER,.,.,https://www.tekniker.es/es,eva.gutierrez@tekniker.es
GAEVE EXP IMP SL,Av/ Corts Catalanes 5-7 08173  Sant Cugat del Vallés,+34609757553,http://www.gaeve.com/,info@gaeve.com
"GAS ECO SUMINISTROS, S.L",c/ Igarsa nº 2 28860 Paracuellos de Jarama (Madrid),619445218,http://gasecosuministros.com/es/,agonzalez@gasecosuministros.com
GEA ENERGÍA CRIO S.L.,C/ TRAMUNTANA 2 A CP 25600 BALAGUER -SPAIN,+34973450712,https://www.gecrio.com,info@gecrio.com
Generaciones Fotovoltaicas de La Mancha S.L.,"Calle Las Cabezas, 16, Villacañas (Toledo), 45860",+34 925195784,https://www.gfmfotovoltaica.com/,info@gfmfotovoltaica.com
GENERAL COMPANY H2 GREEN S.L.,"C/CORREDERA , 76 41710 Utrera (Sevilla)",626486082,http://gecoh2green.com/,mlopez@loalnet.com
Genesal Energy IB SA,"C/ Parroquia de Rois, parcela B28 Polígono Industrial de Bergondo  15165 Bergondo (A Coruña)",981 674 158,http://www.genesalenergy.com,consultas@genesal.com
"Gesintia, S.L.L.","C/ Aiguaders, nº 15. Polígono Industrial Cotes. 46680 Algemessí (Valencia)",655 851 342,https://gesintia.com/,inma.gomez@gesintia.com
GHENOVA,"Avenida San Francisco Javier, 20, Planta 2, 41018, Sevilla",(+34) 677 90 19 58,https://www.ghenova.com/en/ghenovaen/,maria.duque@ghenova.com
Gilbarco Veeder-Root,"Ferdinand-Henze-Straße 9, 33154 Salzkotten, Germany",+44 (0) 7977 293768,https://www.gilbarco.com/eu/,nick.power@gilbarco.com
Grenergy Renovables,"C/ de Rafael Botí 26, 28023 Madrid",690179968,https://grenergy.eu/,jespelta@grenergy.eu
Grupo DISA,"C Fomento 7, 1ª planta, oficina nº 1, 38003 Santa Cruz de Tenerife",922238756,https://www.disagrupo.es/,eva.delgado@disagrupo.es
GRUPO IBEREÓLICA RENOVABLES,Pº Marqués de Zafra nº5  28028 – Madrid (España),+34 91 557 05 66,https://www.grupoibereolica.com/,gac@grupoibereolica.com
Gunvor Group Ltd,calle Balbina Valverde 17 - 28002 Madrid,34619010830,https://gunvorgroup.com/en/,manel.avella@gunvorgroup.com
H-TEC SYSTEMS,"Calle Pedro Teixeira 8, 10º   28020 Madrid, Spain",+34 689 596 081,https://www.h-tec.com/en/,j.menendez@h-tec.com
H2 CLIPPER INC.,.,.,https://www.h2clipper.com/,jerryb@h2clipper.com
H2 to Market,"Avenida Alberto Alcocer 24, piso 7.28043 Madrid",+34722686816,http://www.h2tomarket.com,sbiosca@h2tomarket.com
H2B2 ELECTROLYSIS TECHNOLOGIES S.L.,Calle Fortuny 19 entreplanta. 28010 Madrid,670496428,https://h2b2.es/,info@h2b2.es
H2GREEM GLOBAL SOLUTIONS SL,Calle Titán 8,+34 628 759 643,https://www.h2greem.com,lsacristan@h2greem.com
H2Vector Energy Technologies S.L.,"Parque Tecnológico de Asturias. Edificio CEEI.33428-Llanera, Asturias",+34 644 79 12 95,http://www.h2vector.com,info@h2vector.com
HAFFNER ENERGY,"2, Place de la Gare 51300 Vitry-le-François (Francia)",+33 7 86 62 04 71,https://www.haffner-energy.com/?lang=en,didier.legoic@haffner-energy.com
"HASKEL SISTEMAS DE FLUIDOS ESPAÑA, S.R.L.","Haskel Sistemas de Fluidos España, S.R.L. - Pº Ubarburu, 81 Edificio 5 - Planta 1ª Locales 1 y 2. Polígono 27. Martutene 20115 Astigarraga (Gipuzkoa)",666204343,https://www.haskel.es,pablo.merino@haskel.com
"HEROSE IBERICA, S.L.","C/ Aragó, 208-210 7º 6ª - 08011 Barcelona",930 02 83 28,http://www.herose.es,judit.donoso@herose.es
Hidrógeno Circular SL,"C/ Martín y Soler 18, Elche Parque Industrial 03203 Elche (Alicante)",+34646295995,https://greene.es/,jmma@greene.es
HIDRÓGENO VERDE RENOVABLE SL (HVR energy),"Zurbano, 45 1º - 28010 Madrid",(+34) 913.269.402,https://www.hvrenergy.com,info@hvrenergy.com
"HIDRONA GEA, S.L.","Carretera San Javier a Cartagena, km 24,3. 30353 Torreciega (Cartagena)",968505937,https://grupogeaperona.com,hidronagea@hidronagea.com
HINE GROUP,"Pol. Ind. Altune nº 6010, Pab.7 20212 Olaberria (Gipuzkoa)",943 162 020,http://www.hinegroup.com,es-hre@hinegroup.com
"HIPERBARIC, S.A.","Calle del Condado de Treviño, 628033 Madrid",600466930 / 947473874,http://www.hiperbaric.com/,IDi@hiperbaric.com
HIS Hydrogreen,C/ Fernández Llamazares 34. 28043 Madrid,+34722686816,http://www.hishydrogreen.es/,s.biosca@hishydrogreen.es
HISPALYT,"C/ Orense, 10 2ª - Oficinas 13 y 14 - 28020 MADRID",91 770 94 80,http://www.hispalyt.es/,hispalyt@hispalyt.es
HOLTROP S.L.P. TRANSACTION & BUSINESS LAW,"Vía Augusta, 10, 3º, 08006, Barcelona",699235194,https://holtropblog.com/es/,mariaferrer@holtropslp.com
HORIZONS,.,.,https://www.horizons-energy.com/renewables/,felix.guillen@horizons.energy
HYDAC TECHNOLOGY SL,"Solsones, 54, 08211, Castellar del Vallès (Barcelona)",677400682,https://www.hydac.com/es-es/,rodrigo.gonzalez@hydac.es
Hydrogen Refueling Solutions,Zone Artisanale des Viallards 38560 Champ- sur - Drac FRANCIA,684467149,https://www.hydrogen-refueling-solutions.fr/?lang=en,t.vincendon@h-r-s.fr
Hydrogreen Energy,"Avenida de la Industria, 13-15 Polígono Industrial Canastell 03690 San Vicente del Raspeig (Alicante)",652268484,http://www.hydrogreenergy.com/,bd@hydrogreenergy.com
HYPERION RENEWABLES,.,.,https://hyperionrenewables.com/,mpl@hyperionrenewables.com
"HYREN RENOVABLES, S.L.U.","c/Alcalá, n.º 81 28009 MADRID",91 368 74 42,http://www.hyren.es/,c.navas@hyren.es
HYUNDAI MOTOR ESPAÑA SLU,"Calle Quintanapalla, 2, Madrid",913605260,https://www.hyundai.es,Jdelval@hyundai.es
IBERDROLA,"PLAZA EUSKADI, 5 - TORRE IBERDROLA, 48009, BILBAO, BIZKAIA",690 052 333,https://www.iberdrola.com/,vyuste@iberdrola.es
IBERFLUID INSTRUMENTS S.A.,"Botánica 122, 08908 L'Hospitalet (Barcelona)",+34 933 333 600,https://www.Iberfluid.com,oscar.royuela@iberfluid.com
IDEA ENERGIA,"C/BALBINO MARRON, 8. 41018 SEVILLA.",610191626,http://www.ideaenergia.es/,PABLO.GARCIA@IDEAENERGIA.ES
IDELAB Ingenieria SL,Av. Blasco Ibáñez 10 - 46940 Manises (Valencia),961935512,http://www.idelabingenieria.com,idelab@idelabingenieria.com
IDESA Industrial Plants SLU,"PCTG - Edificio Felix Herreros C/Profesor Potter 105 33203 Gijón, Asturias. España",687089678,http://www.idesa.net,lucia.abad@idesa.net
IDOM,"Avda. Zarandoa, 23 48015 Bilbao",+34 94 479 76 00 / +34 650 50 93 70,https://www.idom.com/es/,jsanzurdiales@idom.com
IGNIS ENERGÍA,"Calle de Cardenal Marcelo Spínola, 4, 1D28016 Madrid",910059775,https://ignisenergia.es/,isabel.carrilero@ignisenergia.es
IKAV Energy Spain S.L.U.,"Plaza Tirso de Molina 12, 1ºIzquierda",911387401,https://www.ikav.com/,carrondo@ikav.com
"INAEL Electrical Systems, S.A.","C/ Jarama 5, 45007, Toledo",925233511,http://www.inael.com/,adlara@inael.com
INDOX ENERGY SYSTEM SL,.,.,https://www.indox.com/,amitja@indox.com
"INECO (Ingeniería y Economía del Transporte, SME MP SA)","Paseo de la Habana, 138 28036 Madrid (España)",+34914521200,http://www.ineco.com,eduardo.marcos@ineco.com
INERCO,"C/Tomas Alba Edison 2, Sevilla, 41092",+34 670081076,https://www.inerco.com,japeregrin@inerco.com
INGENOSTRUM S.L,"Avda Constitución 34, 1.Izqda, 41001 Sevilla",689777702,https://www.ingenostrum.com,lcurto@ingenostrum.com
INGETEAM POWER TECHNOLOGY,"Parque Tecnológico de Bizkaia, 106 - 48170 Zamudio (Bizkaia)",948288000,https://www.ingeteam.com/,hydrogen.energy@ingeteam.com
INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL (INTA),"Carretera de Ajalvir km 4, 28850 Torrejón de Ardoz, Madrid",915202005; 915201446,https://www.inta.es,maellasbj@inta.es
Invenergy,"Calle del Pinar, 5 28006 Madrid",609111574,https://invenergy.com/,jkraig@invenergy.com
ITM Testing Spain S.L.,"C/ Francia 17, Puerto Real (Cádiz), 11519, España",+34 686 410 807,http://www.itmtestingspain.net,ingenieria1@itmtestingspain.net
"JC FÁBRICA DE VÁLVULAS, S.A.U","Av. Segle XXI, 75, Pol. Ind. Can Calderon. 08830 Sant Boi de Llobregat (Barcelona)",+34 936 548 689,http://www.jc-valves.com/,sales@jc-valves.com
Jumo Control S.A,"Calle Berlín, 15 Nave Polígono Ind Torres de La, 28813 Torres de la Alameda, Spain",+34 91 886 31 53,http://www.jumo.es/,rainer.molina@jumo.net
KING & WOOD MALLESONS SAP,"C/ GOYA Nº 6, 4ª PLANTA 28001 MADRID",914260050,https://www.kwm.com/es/es,gonzalo.olivera@eu.kwm.com
KITZ CORPORATION OF EUROPE S.A.,"Ramón Viñas, 8 - 08930 Sant Adrià de Bèsos - Barcelona - Spain",+34 677 491 120,https://www.kitzeurope.com/home_cas.php,jcgomez@kitzeurope.com
KLINGER SPAIN,Avenida del Llano Castellano 15 28034 Madrid,913581212,http://www.klinger.es,power2x@klinger.es
KPMG S.A,"Paseo de la Castellana, 259 C  28046 Madrid",914563452,https://kpmg.com/es,info@kpmg.es
LINDE GAS,.,.,https://www.linde-gas.es/shop/es/es-ig/home,david.asin@linde.com
