Company Name,Additional Name,Employees,Legal Form,Registration Number,Year Established,Member,Street,ZIP,City,Country,Phone,Email,Website,Adresse,Latitude,Longitude
BHDT GmbH,,> 250,Gesellschaft mit beschränkter Haftung,77835P,1958,H2,Werk-VI-Strasse 52,8605,Kapfenberg,Österreich,+43 3862 303 249,,https://www.bhdt.at,"Werk-VI-Strasse 52, 8605, Kapfenberg, Österreich",47.451456,15.335707
Breitenfeld Edelstahl AG,,> 250,Aktiengesellschaft,74471t,1942,H2,Breitenfeldstraße 22,8662,St. Barbara,Österreich,+43 676 840 616 219,,https://www.breitenfeld.at,"Breitenfeldstraße 22, 8662, St. Barbara, Österreich",47.534213,15.503138
Central European Gas Hub AG,,11 - 20,Aktiengesellschaft,203485v,2003,H2,Floridsdorfer Hauptstraße 1,1210,Wien,Österreich,+43 664 612 2843,,https://www.cegh.at,"Floridsdorfer Hauptstraße 1, 1210, Wien, Österreich",48.2529696,16.3930741
DACHGWA Wasserstoff e.G.,,<= 5,Erwerbs- und Wirtschaftsgenossenschaft,594215x,2023,H2,Viktor Kaplan-Straße 2,2700,Wiener Neustadt,Österreich,+43 676 513 456 8,,https://www.dachgwa.eu,"Viktor Kaplan-Straße 2, 2700, Wiener Neustadt, Österreich",47.8375964,16.2532277
Dr. Ryll Lab GmbH,Kompetenz-Zentrum Wasserstoff (KZW),<= 5,Gesellschaft mit beschränkter Haftung,535278z,2020,H2,Hauptplatz 6-7/7,3430,Tulln,Österreich,+49 30 682 382 25,,https://www.dr-ryll-lab.de,"Hauptplatz 6-7/7, 3430, Tulln, Österreich",,
Delphi Data Labs GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,550614b,2021,H2,Stella-Klein-Löw-Weg 8,1020,Wien,Österreich,+43 664 512 6288,,https://www.delphidata.io,"Stella-Klein-Löw-Weg 8, 1020, Wien, Österreich",48.212427,16.415332
Elektrizitätswerke Reutte AG,,50 - 250,Aktiengesellschaft,122143y,1901,H2,Großfeldstraße 10 -14,6600,Reutte,Österreich,+43 5672 607 215,,https://www.ewr-energie.com,"Großfeldstraße 10 -14, 6600, Reutte, Österreich",47.494228,10.725017
Elogen GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,,2015,H2,Eupener Str. 165,50933,Köln,Deutschland,+49 221 291 907 30,,https://www.elogenh2.com,"Eupener Str. 165, 50933, Köln, Deutschland",50.9463254,6.8896065
ENABLING.network GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,596142 f,2023,H2,Schützengasse 16,2500,Baden,Österreich,+43 664 217 0530,,https://www.enabling.network,"Schützengasse 16, 2500, Baden, Österreich",47.999239,16.246818
Energie Steiermark Green Power GmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,FN37211y,2014,H2,Leonhardgürtel 10,8010,Graz,Österreich,+43 316 9000 0,,https://www.e-steiermark.com,"Leonhardgürtel 10, 8010, Graz, Österreich",47.074902,15.4547174
Energiebüro Stanzl,,<= 5,Einzelunternehmen,,2015,H2,Sternenweg 2,3632,Bad Traunstein,Österreich,+43 287 860 00,,https://www.energiebuero-stanzl.at/,"Sternenweg 2, 3632, Bad Traunstein, Österreich",48.438402,15.1160646
Fest GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,HRB207604,1972,H2,Harzburgerstraße 14,38642,Goslar,Deutschland,+49 152 900 400 22,,https://www.fest-group.de,"Harzburgerstraße 14, 38642, Goslar, Deutschland",51.899511450000006,10.490430184117013
FI Freiberg Institut für Energie- und Klimaökonomie GmbH,,,Gesellschaft mit beschränkter Haftung,HRB 30448,2016,H2,Am St.-Niclas-Schacht 13,9599,Freiberg,Deutschland,+49 173 353 0012,,https://go-edgar.de,"Am St.-Niclas-Schacht 13, 9599, Freiberg, Deutschland",50.904676,13.355978
GAS CONNECT AUSTRIA GmbH,,> 250,Gesellschaft mit beschränkter Haftung,208827z,2001,H2,Floridsdorfer Hauptstraße 1,1210,Wien,Österreich,+43 1 27500 88522,,https://www.gasconnect.at,"Floridsdorfer Hauptstraße 1, 1210, Wien, Österreich",48.2529696,16.3930741
Gebrüder Weiss GmbH,,> 250,Gesellschaft mit beschränkter Haftung,61717k,1823,H2,Bundesstraße 110,6923,Lauterach,Österreich,+43 557 4 696 2535,,https://www.gw-world.com/at,"Bundesstraße 110, 6923, Lauterach, Österreich",47.4676928,9.7278771
Glaunach GmbH,Vent Silencers,6 - 10,Gesellschaft mit beschränkter Haftung,102965w,1950,H2,Koningsbergerstrasse 22,9020,Klagenfurt,Österreich,+43 463 32369 60,,https://www.glaunach.com,"Koningsbergerstrasse 22, 9020, Klagenfurt, Österreich",46.610876,14.321091
GLOCK Technology GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,363986z,2011,H2,Gaston-Glock-Park 1,9170,Ferlach,Österreich,+43 2247 903 00,,https://www.glock-ecoenergy.com,"Gaston-Glock-Park 1, 9170, Ferlach, Österreich",46.5248835,14.2993565
GP JOULE Hydrogen GmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,15445FL,2009,H2,Cecilienkoog 16,25821,Reußenköge,Deutschland,+49 4671 60740,,https://www.gp-joule.de/,"Cecilienkoog 16, 25821, Reußenköge, Deutschland",54.585727,8.9227787
Green Gas Service GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,573639m,2022,H2,Franz-Josefs-Kai 13,1010,Wien,Österreich,+43 664 304 0761,,https://www.greengasservice.at,"Franz-Josefs-Kai 13, 1010, Wien, Österreich",48.2112805,16.3778588
Green Tech Valley Cluster GmbH,,11 - 20,Gesellschaft mit beschränkter Haftung,257894g,2005,H2,Waagner-Biro-Straße 100,8020,Graz,Österreich,+43 316 40 77 44 14,,https://www.greentech.at/,"Waagner-Biro-Straße 100, 8020, Graz, Österreich",47.079828,15.410937
Griesemann Engineering AT,,21 - 50,Gesellschaft mit beschränkter Haftung,195916m,2000,H2,Concorde Business Park 2/F/7,2320,Schwechat,Österreich,+43 1 706 5822 131,,https://www.griesemann.com,"Concorde Business Park 2/F/7, 2320, Schwechat, Österreich",48.137823,16.491479
H2Motion GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,537546i,2010,H2,"Rudolfinergasse 3A Block II, Top 7",1190,Wien,Österreich,+43 699 1 888 0038,,https://h2motion.at/,"Rudolfinergasse 3A Block II, Top 7, 1190, Wien, Österreich",,
HAINZL Industriesysteme GmbH,,> 250,Gesellschaft mit beschränkter Haftung,247528m,1965,H2,Industriezeile 56,4021,Linz,Österreich,+43 732 789 2528,,https://www.hainzl.at/de,"Industriezeile 56, 4021, Linz, Österreich",48.3078585,14.3152736
HYBEC GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,597556i,2023,H2,Peter Mitterbauer Staße 3,4661,Roitham,Österreich,+43 664 263 745 5,,http://www.hybec.at,"Peter Mitterbauer Staße 3, 4661, Roitham, Österreich",48.025147,13.827929
HyDepot GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,565915d,2021,H2,Weisstraße 9,6112,Wattens,Österreich,+43 660 22 33 655,,https://www.hydepot.com,"Weisstraße 9, 6112, Wattens, Österreich",47.287646,11.5920979
Hydrofy GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,523408v,2019,H2,Liechtensteinstr. 111-115,1090,Wien,Österreich,+43 699 1230 4664,,https://www.hydrofy.com,"Liechtensteinstr. 111-115, 1090, Wien, Österreich",48.2284121,16.3559374
HydroSolid GmbH,,6 - 10,Gesellschaft mit beschränkter Haftung,561506w,2021,H2,Siedlerstrasse 31,3150,Wilhelmsburg,Österreich,+ 43 2742 44353,,https://www.hydrosolid.com,"Siedlerstrasse 31, 3150, Wilhelmsburg, Österreich",48.095196,15.596567
hyfuels GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,,2023,H2,Wittgensteiner Straße 14,57076,Siegen,Deutschland,0043 681 10752993,,https://www.hyfuels.eu,"Wittgensteiner Straße 14, 57076, Siegen, Deutschland",50.879574500000004,8.037772340267793
Hyundai Import GmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,47654f,1992,H2,Richard Strauss Straße 14,1230,Wien,Österreich,+43 1 610 400,,https://www.hyundai.at,"Richard Strauss Straße 14, 1230, Wien, Österreich",48.1447757,16.3410878
ILF Consulting Engineers Austria Gmbh,,> 250,Gesellschaft mit beschränkter Haftung,106300z,1967,H2,Würtzlerstraße 3/7,1030,Wien,Österreich,+43 170 177 334,,https://www.ilf.com/,"Würtzlerstraße 3/7, 1030, Wien, Österreich",48.194636,16.409278
illwerke vkw AG,,> 250,Aktiengesellschaft,,1924,H2,Weidachstraße 6,6900,Bregenz,Österreich,+43 5574 601 736 84,,http://www.illwerke.at,"Weidachstraße 6, 6900, Bregenz, Österreich",47.4885752,9.7400602
Ingenieurbüro Der Energiearchitekt,,<= 5,Einzelunternehmen,,2011,H2,Sonnendorf 36,6334,Schwoich,Österreich,+43 664 171 203 75,,http://www.derenergiearchitekt.at,"Sonnendorf 36, 6334, Schwoich, Österreich",47.531753,12.14279
INNIO Jenbacher GmbH & CO OG,,> 250,Gesellschaft mit beschränkter Haftung,239923d,2018,H2,Achenseestraße 1-3,6200,Jenbach,Österreich,+43 5244 600 2976,,https://www.jenbacher.com/de,"Achenseestraße 1-3, 6200, Jenbach, Österreich",47.388961,11.768679
INRAG AG,,21 - 50,Aktiengesellschaft,,1973,H2,Auhafenstrasse 3a,4132,Muttenz,Schweiz,+41 613 789 600,,https://www.inrag.ch,"Auhafenstrasse 3a, 4132, Muttenz, Schweiz",47.535595,7.664222
JOANNEUM RESEARCH,Forschungsgesellschaft mbH,> 250,Gesellschaft mit beschränkter Haftung,48282d,1986,H2,Leonhardstraße 59,8010,Graz,Österreich,+43 316 876 1151,,https://www.joanneum.at/,"Leonhardstraße 59, 8010, Graz, Österreich",47.073864,15.454778
Kälte- und Systemtechnik GmbH,KUSTEC,21 - 50,Gesellschaft mit beschränkter Haftung,351976,2006,H2,Strassfeld 5,3441,Freundorf,Österreich,+43 2274 44109,,https://www.kustec.at,"Strassfeld 5, 3441, Freundorf, Österreich",48.284207,16.058146
LEC GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,430130w,2015,H2,Inffeldgasse 19,8010,Graz,Österreich,+43 316 873 301 20,,https://www.lec.at,"Inffeldgasse 19, 8010, Graz, Österreich",47.05906485,15.462712550389574
Liebherr-Werk,Bischofshofen GmbH und Telfs GmbH,> 250,Gesellschaft mit beschränkter Haftung,37715p,1960,H2,Dr. Hans Liebherr Straße 4,5500,Bischofshofen,Österreich,+43 508 091 1427,,https://www.liebherr.com,"Dr. Hans Liebherr Straße 4, 5500, Bischofshofen, Österreich",47.403379,13.22134
LINZ AG,,> 250,Aktiengesellschaft,198666g,1898,H2,Wiener Straße 151,4021,Linz,Österreich,+43 732 3400 6384,,https://www.linzag.at,"Wiener Straße 151, 4021, Linz, Österreich",48.2808085,14.3093233
Linz Center of Mechatronics GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,207547t,2001,H2,Altenberger Straße 69,4040,Linz,Österreich,+43 732 2468 6002,,https://www.lcm.at,"Altenberger Straße 69, 4040, Linz, Österreich",48.337494449999994,14.322783086710771
MaMi-Reifenzubehör e.U.,,<= 5,Einzelunternehmen,555748b,2021,H2,Oberzeiss 20,4212,Neumarkt,Österreich,+43 7941 8493,,https://www.mami-reifenzubehoer.at,"Oberzeiss 20, 4212, Neumarkt, Österreich",48.457177,14.453359
Materials Center Leoben Forschung GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,187396h,1999,H2,Roseggerstrasse 12,8700,Leoben,Österreich,+43 3842 45922 69,,https://www.mcl.at,"Roseggerstrasse 12, 8700, Leoben, Österreich",47.3825805,15.09087583560677
MPREIS Warenvertriebs GmbH,,> 250,Gesellschaft mit beschränkter Haftung,43603y,1920,H2,Landesstr 16,6176,Völs,Österreich,+43 50321 4555,,https://www.mpreis.at,"Landesstr 16, 6176, Völs, Österreich",47.257299,11.320464
MSR-Austria GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,505331,2018,H2,Stockerauer Straße 181,2100,Korneuburg,Österreich,+43 2262 648 19 58,,http://www.msr-austria.at,"Stockerauer Straße 181, 2100, Korneuburg, Österreich",48.3588067,16.312657700000003
ÖAMTC,,> 250,Registrierter Verein,ZVR730335108,1946,H2,Baumgasse 129,1030,Wien,Österreich,+43 1 711 99 21 222,,https://www.oeamtc.at,"Baumgasse 129, 1030, Wien, Österreich",48.189303949999996,16.412397494107815
Panasonic Heating & Ventilation Air-Conditioning Europe,,50 - 250,Gesellschaft mit beschränkter Haftung,,1918,H2,Josef Madersperger-Straße 2,2362,Biedermannsdorf,Österreich,+43 664 829 0396,,https://www.aircon.panasonic.at,"Josef Madersperger-Straße 2, 2362, Biedermannsdorf, Österreich",48.084876,16.355352
Primagaz GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,36656g,1960,H2,Europastraße 8,6322,Kirchbichl,Österreich,+43 664 620 1487,,https://www.primagaz.at,"Europastraße 8, 6322, Kirchbichl, Österreich",47.4976983,12.0795
Project Managers PM GmbH,,6 - 10,Gesellschaft mit beschränkter Haftung,449716y,2016,H2,Dreifaltigkeitsplatz 23,2724,Hohe Wand,Österreich,+43 2638 81255,,http://www.projectmanagers.at,"Dreifaltigkeitsplatz 23, 2724, Hohe Wand, Österreich",47.821388,16.051343
RAG Austria AG,,50 - 250,Aktiengesellschaft,78563i,1935,H2,Schwarzenbergplatz 16,1015,Wien,Österreich,+43 507 245 350,,https://www.rag-austria.at,"Schwarzenbergplatz 16, 1015, Wien, Österreich",48.200764,16.374197
Ranggertech GmbH,,6 - 10,Gesellschaft mit beschränkter Haftung,520956m,1998,H2,Grabenweg 68,6020,Innsbruck,Österreich,+43 512 574750,,https://www.ranggertech.at,"Grabenweg 68, 6020, Innsbruck, Österreich",47.2647047,11.4402578
Rissbacher Walter GmbH,Mineralölhandel,11 - 20,Gesellschaft mit beschränkter Haftung,186501t,1998,H2,Innsbrucker Staße 47,6230,Brixlegg,Österreich,+43 5337 626 26,,https://www.rissbacher.at,"Innsbrucker Staße 47, 6230, Brixlegg, Österreich",47.434658,11.882485
Robert Bosch Holding Austria GmbH,,> 250,Gesellschaft mit beschränkter Haftung,206544t,2001,H2,Göllnergasse 15-17,1030,Wien,Österreich,+43 732 766 7200,,https://www.bosch.at,"Göllnergasse 15-17, 1030, Wien, Österreich",48.2004858,16.4007318
Rouge H2 Engineering AG,,6 - 10,Aktiengesellschaft,410792,2015,H2,Reininghausstr. 13,8020,Graz,Österreich,+43 316 375 007,,https://www.rgh2.com,"Reininghausstr. 13, 8020, Graz, Österreich",47.0649153,15.4082057
SAPOTEC® GmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,231102g,2003,H2,Münchner Bundesstrasse 144,5020,Salzburg,Österreich,+43 662 420 900 100,,https://www.sapotec.at,"Münchner Bundesstrasse 144, 5020, Salzburg, Österreich",47.83104,13.001672
Schwer Fittings GmbH,,6 - 10,Gesellschaft mit beschränkter Haftung,158182x,1997,H2,Leanaustraße 12,4020,Linz,Österreich,+43 732 341 933 11,,https://www.schwer.com,"Leanaustraße 12, 4020, Linz, Österreich",48.286217,14.305032
SCIOFLEX Hydrogen GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,600705s,2023,H2,Haydnstr. 88,7024,Hirm,Österreich,+43 676 476 8527,,https://www.scioflex-hydrogen.com,"Haydnstr. 88, 7024, Hirm, Österreich",47.7845,16.454084
Shenion Capital Advisory GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,560353z,2021,H2,Obere Theningerstr. 10,4062,Kirchberg-Thening,Österreich,+43 664 383 8711,,https://www.shenion.com,"Obere Theningerstr. 10, 4062, Kirchberg-Thening, Österreich",48.256304,14.162962
Shimadzu HandelsgmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,,1990,H2,Laaer Straße 7-9,2100,Korneuburg,Österreich,+43 2262 62601,,https://www.shimadzu.eu.com,"Laaer Straße 7-9, 2100, Korneuburg, Österreich",48.3460287,16.3325287
Siemens Energy Austria GmbH,,> 250,Gesellschaft mit beschränkter Haftung,518270m,2019,H2,Siemensstrasse 90,1210,Wien,Österreich,+43 664 8855 3686,,https://www.siemens-energy.com,"Siemensstrasse 90, 1210, Wien, Österreich",48.2689498,16.4225308
Smart Engineering GmbH,,11 - 20,Gesellschaft mit beschränkter Haftung,548057t,2019,H2,Faberstr. 47c Top 1,6230,Brixlegg,Österreich,+43 660 236 0188,,https://www.smart-engineering.at,"Faberstr. 47c Top 1, 6230, Brixlegg, Österreich",47.4247827,11.8890708
SOLARIS Austria GmbH,,11 - 20,Gesellschaft mit beschränkter Haftung,227860p,2002,H2,Robinigstraße 13,5020,Salzburg,Österreich,+43 662 871 928,,https://www.solarisbus.com/at,"Robinigstraße 13, 5020, Salzburg, Österreich",47.8111616,13.0595095
STASTO Automation KG,,21 - 50,Kommanditgesellschaft,442444d,1974,H2,Feldstraße 9-11,6020,Innsbruck,Österreich,+43 512 52076 34,,https://www.stasto.eu,"Feldstraße 9-11, 6020, Innsbruck, Österreich",47.254441,11.388942
STIWA Automation GmbH,,> 250,Gesellschaft mit beschränkter Haftung,105266d,1972,H2,Salzburger Straße 52,4800,Attnang-Puchheim,Österreich,+43 767 46038159,,https://www.stiwa.com,"Salzburger Straße 52, 4800, Attnang-Puchheim, Österreich",48.013654,13.718275
Stoelzle Oberglas GmbH,,> 250,Gesellschaft mit beschränkter Haftung,63600f,1987,H2,Fabrikstraße 11,8580,Köflach,Österreich,+43 3144 706 282,,https://www.stoelzle.com,"Fabrikstraße 11, 8580, Köflach, Österreich",47.067411,15.07458
SW Energietechnik (SWET) GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,498824s,2019,H2,Beethovenallee 3,9220,Velden am Wörthersee,Österreich,+43 699 104 355 83,,http://redox-vergaser.swet.at/,"Beethovenallee 3, 9220, Velden am Wörthersee, Österreich",46.618592,14.057981
SWAN Analytische Instrumente,,6 - 10,Gesellschaft mit beschränkter Haftung,206602b,2001,H2,Schoellergasse 5,2630,Ternitz,Österreich,+43 263 022 198,,https://www.dach.swan.ch,"Schoellergasse 5, 2630, Ternitz, Österreich",47.7158383,16.04106057074145
TEST-FUCHS GmbH,,> 250,Gesellschaft mit beschränkter Haftung,318706k,1946,H2,Test-Fuchs Straße 1-5,3812,Groß-Siegharts,Österreich,+43 2847 9001 129,,https://www.test-fuchs.com,"Test-Fuchs Straße 1-5, 3812, Groß-Siegharts, Österreich",48.7953998,15.4094564
TITUS messtechnik GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,FN320068p,2008,H2,Leopold Rupp Gasse 9,2325,Himberg,Österreich,+43 2235 840 4013,,https://www.titus-messtechnik.com,"Leopold Rupp Gasse 9, 2325, Himberg, Österreich",,
TIWAG-Next Energy Solutions GmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,195282f,2021,H2,Eduard-Wallnöfer-Platz 2,6020,Innsbruck,Österreich,+43 506 072 1719,,https://www.tinext.at,"Eduard-Wallnöfer-Platz 2, 6020, Innsbruck, Österreich",47.2633822,11.3955704
Trafag GmbH,,<= 5,Gesellschaft mit beschränkter Haftung,124690v,1971,H2,Konrad-Doppelmayr -Straße 17,6922,Wolfurt,Österreich,+43 5574 20866,,https://www.trafag.com,"Konrad-Doppelmayr -Straße 17, 6922, Wolfurt, Österreich",47.455082,9.7332046
TÜV AUSTRIA GmbH,,> 250,Gesellschaft mit beschränkter Haftung,88476f,2007,H2,Dr. Franz-Werner-Straße 36/ 3,6020,Innsbruck,Österreich,+43 5 0454 8677,,https://www.tuv.at,"Dr. Franz-Werner-Straße 36/ 3, 6020, Innsbruck, Österreich",47.278458,11.429827
UPM Meßgeräte Vertriebsges.m.b.H.,,6 - 10,Gesellschaft mit beschränkter Haftung,67642z,1989,H2,Viktor-Kaplan-Strasse 9B/E,2201,Gerasdorf bei Wien,Österreich,+43 125 922 09,,https://www.upm.at,"Viktor-Kaplan-Strasse 9B/E, 2201, Gerasdorf bei Wien, Österreich",48.278578,16.481933
V&F Analyse- und Messtechnik GmbH,,21 - 50,Gesellschaft mit beschränkter Haftung,299913z,1985,H2,Andreas Hofer Straße 15,6067,Absam,Österreich,+43 5223 431 05 37,,https://www.vandf.com,"Andreas Hofer Straße 15, 6067, Absam, Österreich",47.302957,11.518261
VERBUND AG,ARP - Austrian Renewable Power GmbH,> 250,Aktiengesellschaft,76023z,1947,H2,Am Hof 6a,1010,Wien,Österreich,+43 664 828 6682,,https://www.verbund.at,"Am Hof 6a, 1010, Wien, Österreich",48.211452,16.3668259
Virtual Vehicle Research GmbH,,> 250,Gesellschaft mit beschränkter Haftung,224755y,2002,H2,Inffeldgasse 21A,8010,Graz,Österreich,+43 316 873 4004,,https://www.v2c2.at,"Inffeldgasse 21A, 8010, Graz, Österreich",47.0580111,15.4629321
Wien Energie GmbH,,> 250,Gesellschaft mit beschränkter Haftung,215854h,2001,H2,Thomas-Klestil-Platz 14,1030,Wien,Österreich,+43 664 884 45 444,,https://www.wienenergie.at/,"Thomas-Klestil-Platz 14, 1030, Wien, Österreich",48.192110400000004,16.41308428497502
Wolftank-Adisa Holding AG,Wolftank Group,6 - 10,Aktiengesellschaft,306731a,2008,H2,Grabenweg 58,6020,Innsbruck,Österreich,+43 512 345 726,,https://www.wolftankgroup.com,"Grabenweg 58, 6020, Innsbruck, Österreich",47.2645812,11.4350302
Worthington Cylinders GmbH,,> 250,Gesellschaft mit beschränkter Haftung,167898i,1817,H2,Beim Flaschenwerk 1,3291,Kienberg bei Gamig,Österreich,+43 7485 606 204,,https://www.worthingtonindustries.eu,"Beim Flaschenwerk 1, 3291, Kienberg bei Gamig, Österreich",47.940293,15.122541
ZIEGLERVERBAND,,<= 5,Registrierter Verein,,1921,H2,Anastasius-Grün-Straße 20,4020,Linz,Österreich,+43 664 382 1660,,https://www.zieglerverband.at,"Anastasius-Grün-Straße 20, 4020, Linz, Österreich",48.293493,14.297704
