cname,year,ccode,ccodealp,ccodecow,ccodewb,Ed_qual,Hel_qual,Law_qual,Edimpart1,Helimpart1,Lawimpart1,Edimpart2,Helimpart2,Lawimpart2,EdCorr,HelCorr,LawCorr,Need_cor,Greed_cor,Ed_pay,Hel_pay,Law_pay,Other_pay,Any_bribe,Ed_ask,Hel_ask,Law_ask,Other_ask,Ask_Any,elec_not_free,Parl_conf,Vote_buy_ask
Bulgaria,2017,100,BGR,355,100,5.526795,5.163622,5.484543,4.955436,5.671898,5.48361,2.408339,2.643506,2.559627,4.561946,5.640194,5.394505,4.912669,5.568239,.0278,.1195335,.0605725,.0416281,.1683914,.0445416,.1344756,.0753412,.0594147,.1909845,,3.074447,
Bulgaria,2021,100,BGR,355,100,5.765662,5.091139,5.619012,5.679022,6.455223,6.18779,2.300366,2.562497,2.513298,5.234139,6.063391,5.799864,5.519625,6.650476,.0150422,.0781399,.0307924,.0419875,.1142683,.0370983,.0940065,.0576479,.0667533,.153037,2.439467,2.709025,
Bulgaria,2024,100,BGR,355,100,6.266228,5.759407,5.998823,5.67908,6.396416,6.416127,2.393781,2.647331,2.668391,5.192871,6.004425,6.181571,5.141934,6.349138,.0303297,.1130304,.0393073,.0231271,.1517186,.0381317,.1158698,.0584848,.0320389,.1622387,2.539657,3.57059,.091777
Croatia,2013,191,HRV,344,191,6.156683,5.896352,5.767673,5.864499,6.463085,6.136018,2.379016,2.477151,2.564251,4.923016,5.453021,5.445334,,,.0014321,.0525273,.0033814,.0178073,.068696,,,,,,,,
Croatia,2017,191,HRV,344,191,6.541042,6.246493,6.710672,6.290146,6.928715,6.541296,2.176273,2.526443,2.485307,6.120134,7.031232,6.806065,6.400118,7.464987,.02136,.0889343,.012285,.0148561,.1082324,.0133147,.053479,.0105504,.0199549,.0735064,,2.41067,
Croatia,2021,191,HRV,344,191,6.324592,6.287083,6.604937,6.294429,6.792506,6.556498,2.424637,2.543459,2.492642,5.699128,6.022868,6.281134,6.115026,6.931746,.0207319,.0816108,.0092863,.0278997,.08758,.0323679,.0599625,.0295086,.0521365,.117952,2.017727,3.799986,
Croatia,2024,191,HRV,344,191,6.427495,5.805527,6.202323,6.542834,7.246878,6.767376,2.631361,2.831355,2.721395,5.985598,6.715023,6.488337,6.309838,7.176679,.0366901,.1453747,.0157066,.0266699,.1643666,.0268696,.0603095,.0311041,.0353211,.0910324,2.405241,3.426864,.0786437
Cyprus,2021,196,CYP,352,196,6.564833,6.844915,5.839107,4.668188,4.670515,4.775393,2.072867,1.997703,2.454556,4.918552,4.838267,5.549665,5.826486,6.01602,.0315897,.0271124,.0079846,.017338,.0492833,.0261506,.013213,.0014521,.0246479,.0465214,1.558532,3.263412,
Cyprus,2024,196,CYP,352,196,6.852104,6.904783,6.32451,6.122276,5.978998,6.05695,2.106879,2.085343,2.234431,5.590012,5.56473,5.716572,5.960231,6.034455,.0165653,.0152103,.002919,0,.0223969,.0202415,.0073482,.016349,.0415899,.0644026,1.689728,4.202127,.0655598
Czech Republic,2010,203,CZE,316,203,5.901528,6.464813,5.732751,3.900467,4.847225,4.366293,1.914834,2.207195,2.166679,3.188002,4.285005,4.170823,,,.0175107,.0917566,.0282911,.0348274,.130971,,,,,,,,
Czech Republic,2013,203,CZE,316,203,6.440799,6.354949,6.17495,4.580371,5.260059,4.683945,2.118074,2.348028,2.316054,3.539394,4.482063,4.407679,,,.0056764,.0452732,.0076866,.0132316,.0592696,,,,,,,,
Czech Republic,2017,203,CZE,316,203,6.848985,6.765815,6.68203,4.459505,5.470801,5.150759,1.93225,2.210328,2.206754,3.311344,4.303914,4.387936,3.748134,5.460385,.0718297,.1552702,.0089346,.0069296,.1993758,.0093174,.0182775,.0109252,.0085245,.0400252,,2.98142,
Czech Republic,2021,203,CZE,316,203,7.04751,7.325936,7.163195,4.165501,4.963078,4.036302,1.747333,1.888389,1.89635,3.130697,3.731177,3.588975,3.721004,4.964303,.0175908,.0713985,.0048612,.0113987,.086037,.0100982,.0224457,.0107184,.0194625,.0454978,1.33035,4.471518,
Czech Republic,2024,203,CZE,316,203,6.894846,6.819973,6.881864,4.764899,5.576295,4.754082,1.985372,2.12824,2.068577,3.540587,4.180143,3.925659,3.940198,5.007393,.0229138,.0862846,.0062776,.0174872,.1060876,.0113887,.0241767,.0103162,.0197258,.0524456,1.581717,3.8676,.0191654
Denmark,2010,208,DNK,390,208,6.454072,7.54944,6.691173,3.91976,3.973742,3.305929,1.912917,1.774156,1.751411,2.059739,2.029939,2.018293,,,.0005581,.0020785,.0012101,0,.0026304,,,,,,,,
Denmark,2013,208,DNK,390,208,6.561272,7.009861,6.832346,4.186194,4.409343,3.272495,1.960922,2.021099,1.778704,2.304584,2.502751,2.305441,,,.0018998,.0012219,.0008436,.0008436,.002278,,,,,,,,
Denmark,2017,208,DNK,390,208,6.768314,6.95435,6.763859,4.34181,4.583683,3.389562,2.044282,2.097888,1.863029,1.928683,2.293636,2.11717,1.940327,2.303044,.0038938,.004153,.0019886,.0033861,.0112994,.0005026,.0012194,.0021951,.0021137,.0040939,,5.618341,
Denmark,2021,208,DNK,390,208,7.09385,7.418799,6.983201,4.532456,4.677274,3.72949,1.86522,1.908367,1.838913,2.640618,2.717492,2.714776,2.42993,2.912367,.0176406,.0069171,.0068146,.0065608,.0326919,.0021366,.0042592,.0058681,.0086245,.0166184,1.180663,6.30408,
Denmark,2024,208,DNK,390,208,6.923515,6.865972,6.969649,4.815944,5.166282,4.074508,2.057743,2.182567,2.013256,2.549177,2.67112,2.728483,2.404344,2.876711,.0049788,.0038497,.0007061,.0039336,.0123065,.0021731,.0012536,.0019784,.0068503,.0102883,1.300671,5.783365,.0178199
Estonia,2021,233,EST,366,233,7.549587,6.98989,7.329848,3.548672,3.629231,2.931515,1.751846,1.679992,1.57682,2.513969,2.672625,2.381719,2.967492,3.494626,.0102121,.0169329,0,.001932,.0218767,.0127317,.0134162,.0094827,.010511,.0300729,1.424176,5.170886,
Estonia,2024,233,EST,366,233,7.254497,6.626331,7.205812,4.31138,4.599534,3.796406,1.977436,2.039916,1.831931,3.293254,3.316505,3.00881,3.238359,3.870265,.0085855,.0322389,.0023538,.0045781,.0406819,.0075728,.0137919,.0048607,.0179772,.0344476,1.830063,4.62924,.0493228
Finland,2013,246,FIN,375,246,7.582512,6.991721,7.097593,3.97136,4.232315,3.169824,1.904533,2.005779,1.725311,2.728399,2.757509,2.382198,,,.0011271,.002205,.0004659,.0025867,.0054529,,,,,,,,
Finland,2017,246,FIN,375,246,7.715114,7.358597,7.444067,3.693389,4.030569,3.036814,1.783841,1.869324,1.614703,2.548294,2.689264,2.49623,2.647537,3.812383,.0315582,.0031274,.0019734,.010425,.0404846,.0046885,.0041534,.0039746,.0067064,.0138857,,5.76264,
Finland,2021,246,FIN,375,246,7.908153,7.559623,7.547166,3.786915,3.95678,3.115966,1.763527,1.777075,1.641159,2.458158,2.518578,2.312625,2.031068,3.03466,.0055524,.002276,.0016772,.0036836,.0092301,.0102798,.0071421,.0052998,.0044473,.0139118,1.093668,7.032053,
Finland,2024,246,FIN,375,246,7.620429,6.851749,7.279554,4.202995,4.410894,3.413908,1.903931,2.034866,1.745695,2.529006,2.746602,2.469417,2.176197,2.913376,.00356,.0019761,.0021165,.0054639,.0092108,.0047819,.0030723,.0034403,.0092118,.0154071,1.210748,6.154488,.0127909
France,2010,250,FRA,220,250,6.60197,7.022963,6.098411,4.701423,4.981683,4.650838,2.251987,2.270568,2.677107,2.764336,3.150587,3.996466,,,.0006731,.0143289,.0025043,.0044511,.0190258,,,,,,,,
France,2013,250,FRA,220,250,6.481467,6.881797,6.254001,5.139622,5.463163,4.712638,2.378076,2.336083,2.623967,3.475281,3.712398,4.510246,,,.0058254,.0325454,.0081503,.0178849,.0509916,,,,,,,,
France,2017,250,FRA,220,250,6.438813,6.723876,6.722147,5.155591,5.463064,4.67222,2.451167,2.34881,2.534835,3.411837,3.574563,4.115667,4.245088,4.932415,.0449756,.0344192,.0086423,.0163944,.0811363,.0158148,.0270126,.0170179,.0317999,.0663596,,4.614026,
France,2021,250,FRA,220,250,6.764575,7.001142,6.516949,5.277868,5.611911,4.706675,2.289134,2.187963,2.587801,3.164915,3.397715,4.064771,4.160583,4.93743,.0446983,.0408395,.0115411,.0227232,.0824688,.0176793,.0257182,.0190423,.0364618,.0715378,1.385037,4.398969,
France,2024,250,FRA,220,250,6.497738,6.401556,6.631767,5.500411,5.880141,4.912138,2.418718,2.37612,2.506052,3.333125,3.471191,3.964603,3.936335,4.646232,.0361911,.0325574,.0098804,.0250609,.0754786,.0148849,.0266513,.020863,.0314924,.0686138,1.582516,4.024218,.0265244
Germany,2010,276,DEU,255,276,5.995989,6.208441,6.646426,3.892148,4.88983,3.207346,1.996843,2.36571,1.708948,2.755727,3.42171,2.723536,,,.0071352,.0104994,.0053955,.0091342,.0212296,,,,,,,,
Germany,2013,276,DEU,255,276,6.433287,6.619771,6.594596,4.047428,4.783481,3.378835,2.215554,2.563605,2.01125,3.087458,3.847814,3.01544,,,.0019877,.0096734,.0007667,.0058265,.0165807,,,,,,,,
Germany,2017,276,DEU,255,276,6.233099,6.663294,6.887231,4.742981,5.467865,3.797974,2.214936,2.454834,1.937187,2.968492,3.81152,3.060576,2.542035,3.537167,.0037911,.0070672,.0020504,.0036172,.0099544,.0044997,.0093523,.0034188,.0063147,.0156845,,5.680885,
Germany,2021,276,DEU,255,276,6.678548,7.048812,7.029068,4.492786,4.936806,3.655059,1.973191,2.135329,1.873114,2.764453,3.014484,2.857626,2.326339,2.755202,.0127743,.0176336,.0112039,.0103611,.0303572,.0110254,.0133454,.0109105,.0143954,.0265475,1.237041,6.577086,
Germany,2024,276,DEU,255,276,6.267913,6.428416,6.721716,5.052455,5.690508,4.340649,2.166555,2.371942,2.074109,2.928341,3.320199,3.092942,2.603241,3.067639,.0087398,.0144242,.0039499,.0090304,.0280343,.0088269,.0156316,.0092665,.0153022,.0331883,1.480604,5.554462,.0074947
Greece,2010,300,GRC,350,300,5.781233,4.892551,5.096691,4.590868,5.268892,5.177969,2.339242,2.770334,2.741981,4.773394,6.017305,5.475019,,,.0115584,.0940213,.0133513,.0392764,.1189034,,,,,,,,
Greece,2013,300,GRC,350,300,5.773853,4.619423,6.249005,4.78225,4.866127,5.195935,2.378473,2.731048,2.361305,4.561201,6.305775,4.93484,,,.0110259,.1331196,.0102145,.0464877,.1510461,,,,,,,,
Greece,2017,300,GRC,350,300,6.138904,5.110865,6.036092,4.976162,5.740714,5.237323,2.19905,2.556984,2.333871,4.287462,5.666522,5.080862,5.613118,6.056561,.0109048,.0988653,.0029888,.0259457,.1176122,.0154405,.1080315,.0038351,.038975,.1374911,,2.863364,
Greece,2021,300,GRC,350,300,6.511361,6.064429,6.860972,4.232534,4.882532,4.377154,1.942702,2.196335,2.107864,3.952117,5.091506,4.437525,4.184052,4.918652,.0064861,.0700039,.0040157,.0238547,.0816922,.005653,.0791156,.0064412,.0322225,.0972657,1.407322,4.725332,
Greece,2024,300,GRC,350,300,6.072766,5.310725,5.65761,4.271347,5.179231,5.080348,2.07406,2.457565,2.468237,4.175617,5.385018,5.227587,4.733713,5.518697,.0055681,.0840253,.0087288,.0068895,.0934027,.0069586,.0890624,.0138115,.0141188,.1036062,1.717202,5.091945,.0954723
Hungary,2010,348,HUN,310,348,6.076697,5.658138,5.916161,4.795846,5.218051,5.142594,2.365108,2.618117,2.599617,3.879133,4.80478,4.645237,,,.0179855,.1983377,.0193541,.0031672,.2199785,,,,,,,,
Hungary,2013,348,HUN,310,348,6.470784,5.992145,6.292685,4.386474,4.945624,4.326781,1.975875,2.268234,2.215854,3.163542,4.908157,4.006189,,,.0061039,.2196559,.019666,.0132534,.2279673,,,,,,,,
Hungary,2017,348,HUN,310,348,6.501333,5.615629,6.787564,4.188523,5.104436,3.695503,2.346489,2.546675,2.109198,3.432108,4.756228,3.303877,4.628985,6.521379,.0556904,.350015,.0030289,.0145698,.3646155,.0132067,.097309,.0072698,.0154753,.1124476,,4.472659,
Hungary,2021,348,HUN,310,348,6.90095,6.242574,7.212011,4.17612,4.568187,4.093936,1.898696,2.081401,1.896795,3.199899,3.851283,3.465126,3.849672,5.195287,.020661,.1742737,.0050637,.0093812,.1848581,.0138331,.0841928,.0071037,.0082083,.0931418,1.772711,4.498981,
Hungary,2024,348,HUN,310,348,5.799679,5.038715,6.338224,4.34426,5.170508,4.515205,2.26593,2.47299,2.242253,3.853867,4.534768,4.182943,4.541333,5.895161,.0217492,.0904501,.0019671,.0105811,.1020177,.0157139,.0409625,.0069592,.0124393,.0574457,2.200314,3.855127,.0391578
Ireland,2013,372,IRL,205,372,7.169192,6.433796,6.424968,4.13232,4.251631,3.9713,1.840494,1.992158,1.894681,2.558638,2.602028,2.675472,,,.0004196,.0028394,.0004196,.0024198,.005,,,,,,,,
Ireland,2017,372,IRL,205,372,7.475632,5.842854,6.65904,4.552091,4.804399,4.277702,1.862185,2.233275,1.956379,3.081956,3.388823,3.794161,3.348307,3.806788,.0140455,.0076553,.0062197,.0052567,.0274065,.0052685,.0123151,.0118486,.0126438,.0239672,,,
Ireland,2021,372,IRL,205,372,7.91768,6.668585,7.552477,4.227932,4.296458,3.692627,1.602612,1.763165,1.642157,2.552709,2.650007,2.683236,2.713082,3.006232,.0068534,.006878,.0042901,.0054254,.0198226,.0076886,.0157589,.0141303,.0095224,.0357523,1.199972,6.346304,
Ireland,2024,372,IRL,205,372,7.592155,6.511596,6.907638,4.92342,5.252768,4.792419,1.995703,2.238526,2.075717,3.448921,3.834886,3.967539,3.628273,4.087153,.0030175,.0132218,.0058601,.0092578,.0250628,.0121979,.0329498,.0097702,.0386048,.0809154,1.715535,6.651455,.0307149
Italy,2010,380,ITA,325,380,6.136735,6.006644,6.365762,4.452205,5.439313,3.990397,2.165066,2.476772,2.102973,3.764878,4.668141,3.507704,,,.0297201,.0703506,.0069998,.0170046,.091163,,,,,,,,
Italy,2013,380,ITA,325,380,6.420743,6.20297,6.699908,4.383479,5.270767,4.123487,2.147341,2.374079,2.056705,3.991884,5.174394,3.907101,,,.0352679,.1292398,.0111986,.0405233,.1665069,,,,,,,,
Italy,2017,380,ITA,325,380,6.282805,6.054241,6.486782,5.140775,5.671462,5.059912,2.26247,2.422312,2.194781,4.817334,5.454042,4.868556,4.510563,5.092736,.0659567,.105006,.0425676,.0348969,.1444621,.0334772,.0544918,.0314079,.0275674,.0838143,,3.669464,
Italy,2021,380,ITA,325,380,6.865218,6.356267,6.880476,4.529519,5.257905,4.361224,1.832977,2.122648,1.737121,3.825307,4.621889,3.967238,3.701531,4.142439,.00436,.013239,.0018896,.0021386,.0170177,.0035471,.0293273,.0119553,.0176468,.0446426,1.246813,5.028697,
Italy,2024,380,ITA,325,380,7.028568,6.432304,6.727277,4.348762,5.170689,4.551303,1.978545,2.261663,2.11626,3.761307,4.601998,4.236133,3.924755,4.652488,.0018529,.0231221,.0015621,.0042056,.0274925,.0021747,.0196857,.0039876,.0049173,.02671,1.733324,6.307491,.0210435
Latvia,2021,428,LVA,367,428,6.608837,6.394641,6.840633,4.828787,5.127992,5.025189,1.956064,2.131025,1.984621,3.511855,4.095888,4.020308,3.758438,4.712265,.0338139,.0868449,.0255142,.0293813,.1125928,.0214102,.0572616,.0385218,.0377806,.092045,1.702343,4.085462,
Latvia,2024,428,LVA,367,428,6.337663,5.988113,6.343256,5.196189,6.128959,5.774491,2.195832,2.335902,2.322099,3.94507,4.636839,4.866465,4.254771,5.00904,.0265283,.0718761,.0081942,.0157162,.0986149,.0167777,.0468204,.0345746,.040712,.0859338,1.933227,3.919618,.0254052
Lithuania,2021,440,LTU,368,440,7.100921,6.753377,7.881786,5.478054,5.546124,5.235508,1.783623,2.030345,1.613606,3.841304,4.32526,3.818977,4.173842,4.502259,.0214914,.0984692,.0076775,.0139354,.1146969,.0261421,.0830101,.0195605,.0358086,.1146252,1.455683,4.806069,
Lithuania,2024,440,LTU,368,440,6.789858,6.607245,7.446625,5.284628,5.562009,4.796163,2.003657,2.202042,1.839476,3.801609,4.801519,3.87583,4.149941,4.732473,.0231156,.1020074,.0021185,.004524,.1099526,.0140708,.087486,.0051187,.007446,.0999027,1.691462,4.251457,.021837
Luxembourg,2021,442,LUX,212,442,7.4825,8.071417,7.42398,4.879489,4.723425,4.573681,1.811297,1.512908,1.911572,2.723675,2.627717,3.178749,2.382237,3.03679,.0040588,.0325931,.0114921,.0040588,.0364246,.0166281,.0232449,.0125726,.0168132,.0459938,1.249949,6.914232,
Luxembourg,2024,442,LUX,212,442,6.980991,7.181025,6.754915,4.494287,4.379879,3.920792,2.060888,1.894435,1.998468,2.610584,2.634727,2.969285,2.409677,3.494089,.0334604,.0024423,0,.0024423,.032665,.0025225,.0130641,.0213933,.0049958,.0330487,1.465798,6.904999,.0103182
Malta,2021,470,MLT,338,470,7.557321,8.04752,7.020686,5.419348,5.955137,6.034127,1.901164,1.888637,2.420455,3.530793,3.902312,5.441432,3.862328,5.847435,.013617,.0062696,.0015059,.0086515,.0183807,0,.0100089,.0075323,.0109786,.0159445,1.444429,5.596554,
Malta,2024,470,MLT,338,470,6.679417,7.031631,6.03503,6.017053,6.68468,6.669376,2.498561,2.523921,2.862785,4.886454,5.648495,6.484681,5.236119,7.204934,.0067838,.0028871,0,0,.0067635,.0059235,.0167825,.0060806,.0159634,.0264075,2.370521,4.71551,.077949
Netherlands,2010,528,NLD,210,528,6.761218,7.431241,6.490481,3.847219,3.839433,3.540671,1.789394,1.645049,1.883832,2.535067,2.694392,3.092117,,,.0013788,.0021311,.0042206,.0007538,.0070887,,,,,,,,
Netherlands,2013,528,NLD,210,528,6.774315,7.394323,6.636839,4.207093,4.028426,3.571049,1.7945,1.565124,1.821552,3.001158,3.008057,3.348741,,,.0063589,.0097548,.0048607,.009421,.0153327,,,,,,,,
Netherlands,2017,528,NLD,210,528,6.851762,7.107184,6.623697,4.83905,4.768127,4.749581,1.966408,1.926157,2.104542,4.054657,4.042195,4.471747,4.365351,5.278515,.0137692,.0128009,.0077057,.0070588,.0206328,.016778,.0153467,.0081118,.0146455,.0250064,,5.00947,
Netherlands,2021,528,NLD,210,528,7.184139,7.684538,7.070972,4.272976,4.042761,3.812951,1.770312,1.564777,1.899678,2.446578,2.469651,3.082262,2.517241,3.395568,.0065731,.0053079,.001542,.0024697,.0126723,.0012788,.0022916,.003338,.0039816,.0066725,1.16877,6.448272,
Netherlands,2024,528,NLD,210,528,7.571422,7.3678,6.965585,4.377805,4.1102,3.6686,1.90561,1.82339,1.88351,2.7749,2.788437,3.135579,2.834885,3.60572,.010232,.0146645,.0099425,.0113219,.0385158,.016315,.1013121,.0133009,.0155831,.056942,1.539592,6.240118,.0374459
Poland,2010,616,POL,290,616,6.310357,5.247477,5.953465,4.756842,5.452675,4.623012,2.259079,2.585519,2.430451,3.350463,4.795162,3.971983,,,.020774,.0986489,.0236902,.0257283,.1269205,,,,,,,,
Poland,2013,616,POL,290,616,6.259373,4.888182,5.840574,4.694392,5.56951,4.202725,2.197047,2.667728,2.298139,2.835153,4.564079,3.451887,,,.0057918,.0770357,.0144047,.021797,.0971946,,,,,,,,
Poland,2017,616,POL,290,616,6.165261,5.033742,5.999818,4.832931,5.768116,5.090336,2.354699,2.77493,2.526871,3.649679,4.928384,4.360662,4.44472,4.842607,.033895,.0738472,.022216,.0266621,.100416,.0298443,.0742203,.025999,.0366147,.1113768,,3.493737,
Poland,2021,616,POL,290,616,6.189304,5.17261,6.065974,4.935645,6.361183,5.424057,2.322563,2.837793,2.615586,3.439437,4.90503,4.158283,4.336591,5.014197,.0209274,.0697261,.0088758,.0223942,.0866025,.0192038,.0582505,.0167812,.0345086,.0864308,1.633966,3.37756,
Poland,2024,616,POL,290,616,6.133102,5.285278,5.755905,4.728922,5.689432,4.996833,2.376885,2.649234,2.51667,3.535157,4.599637,4.121069,4.096526,4.490819,.0238235,.0686312,.0093576,.0142331,.0867085,.0233814,.0643743,.0230456,.0244475,.0975978,1.895389,3.346039,.0275755
Portugal,2010,620,PRT,235,620,5.995848,5.931182,5.646846,5.04394,5.166287,5.077994,2.177111,2.30954,2.386492,4.185595,4.483166,4.852813,,,.0013715,.0047948,.0017078,.0013294,.006454,,,,,,,,
Portugal,2013,620,PRT,235,620,6.526902,5.959285,6.163363,5.175504,5.456555,5.041835,2.360721,2.453465,2.430065,4.738271,4.93103,5.103048,,,.0026739,.0151658,.003161,.0049176,.0225556,,,,,,,,
Portugal,2017,620,PRT,235,620,6.801576,6.397822,6.67009,5.883475,6.135272,5.221374,2.31017,2.365525,2.245675,4.879948,5.02603,4.933096,4.883403,5.32928,.0117732,.0183665,.0080281,.0045504,.0281803,.0222802,.0306206,.0193396,.0183336,.0558591,,4.642879,
Portugal,2021,620,PRT,235,620,7.173603,6.331878,7.049704,5.739258,6.121756,5.386577,2.164799,2.235909,2.107401,4.74735,4.871636,4.850621,4.57978,5.163952,.0106619,.0238416,.0103907,.0120584,.0347446,.0175275,.0323302,.0231833,.0224737,.0554366,1.240549,5.203945,
Portugal,2024,620,PRT,235,620,7.066816,6.121011,6.681326,4.832036,5.205456,4.853246,2.106126,2.275652,2.26633,4.153837,4.460426,4.557603,3.988726,4.615672,.0041847,.0114391,.005343,.0079347,.0209106,.0127401,.0175345,.0139696,.0183412,.0420868,1.590408,4.971429,.0125089
Romania,2010,642,ROU,360,642,6.804003,6.674631,6.791441,4.582894,5.199799,4.802278,2.2953,2.532785,2.463998,4.83581,5.76497,5.325869,,,.0404822,.2556113,.0256218,.0398016,.2789274,,,,,,,,
Romania,2013,642,ROU,360,642,6.944789,6.455649,6.931722,4.627653,5.286381,4.684733,2.099724,2.339028,2.229405,4.748294,5.672576,5.137649,,,.0378206,.2599779,.0318454,.047838,.2732938,,,,,,,,
Romania,2017,642,ROU,360,642,6.717352,6.22668,6.838676,5.002671,5.675169,5.257159,2.164202,2.521211,2.298543,5.852867,6.56262,6.168849,5.873444,6.033082,.0385543,.1103839,.0249408,.031038,.1421703,.0387837,.0974071,.0286047,.0354241,.1303524,,3.829117,
Romania,2021,642,ROU,360,642,6.616448,6.71856,6.871047,4.960651,5.481228,4.984909,2.081084,2.275218,2.186431,4.657181,5.302276,5.080373,4.691341,4.999613,.0446896,.1315559,.0148606,.0362009,.1648511,.0473173,.08095,.0182701,.0331672,.1131926,1.631741,3.664967,
Romania,2024,642,ROU,360,642,6.777468,6.471383,6.430374,5.427135,6.103198,5.73891,2.316722,2.576804,2.498281,5.253918,6.105668,5.892247,5.183567,5.81603,.056587,.1782394,.0213343,.0219857,.2034396,.0341876,.0901777,.0226811,.0290906,.1172837,2.081209,3.335111,.0727423
Slovakia,2010,703,SVK,317,703,5.687294,5.475158,5.789525,5.424961,6.197102,5.385078,2.407161,2.694187,2.48191,4.869512,6.215358,5.097943,,,.004677,.0993817,.0081208,.007567,.1069504,,,,,,,,
Slovakia,2013,703,SVK,317,703,6.044782,5.314394,5.967833,5.441885,6.269794,5.763934,2.44181,2.845474,2.669443,4.66275,6.045154,5.331028,,,.0171863,.108059,.0233845,.0296108,.128288,,,,,,,,
Slovakia,2017,703,SVK,317,703,6.33802,4.775603,6.02385,5.144663,7.054385,5.734129,2.163255,3.038356,2.596025,4.493784,6.804404,5.618783,5.551139,6.358573,.0440834,.240842,.0417177,.0773268,.2962401,.0130181,.0894853,.0385894,.0460685,.1480346,,3.716714,
Slovakia,2021,703,SVK,317,703,6.074827,5.825436,6.3709,4.998539,5.95877,5.265429,2.299944,2.623441,2.466764,4.795863,5.723763,5.343769,5.032823,5.958197,.027922,.1249788,.0108954,.0236173,.1564658,.0153206,.0719049,.0142075,.0318323,.0995171,1.597557,4.161329,
Slovakia,2024,703,SVK,317,703,6.13388,5.399563,6.060972,5.164718,6.302671,5.771747,2.379777,2.739369,2.582268,4.71352,5.990636,5.635476,4.995653,5.854597,.044342,.154421,.0117021,.0236353,.1742327,.0084188,.0459217,.011548,.0172938,.0647937,1.728344,3.594925,.0168793
