Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
SHELL HYDROGEN DEUTSCHLAND GMBH,HAMBURG,DE,7490,LF,7,SHELL PLC,SUHRENKAMP 71-77,22335,"Hamburg, Freie und Hansestadt",Deutschland,53.6212995,10.0152091,Germany
SIEKMANN ECONOSTO GMBH,DORTMUND,DE,2790,U1,69,VAN VLISSINGEN FAMILY,LISSABONER ALLEE 3,44269,Dortmund,Deutschland,51.500573,7.523466,Germany
SINO WIN (EUROPE) GMBH,BAD SODEN-SALMÜNSTER,DE,8299,LF,1,GUOGUANG GUO,FICHTENSTR. 3,63628,Main-Kinzig,Deutschland,50.2729152,9.38122962186916,Germany
SMARTENERGY EPC SOLUTIONS AG,WOLLERAU,CH,2790,LF,1,SMARTENERGY EPC SOLUTIONS AG,SIHLEGGSTRASSE 17,8832,Schwyz,Schweiz,47.188505,8.706905,Switzerland
SOLARPARK HOCHKIPPE SALLGAST GMBH & CO. KG,REUßENKÖGE,DE,4321,LF,4,,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany
SOLARPARK KLETTWITZ SÜD GMBH & CO. KG,REUßENKÖGE,DE,3511,U1,n.v.,DEUTSCHE BANK AG,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany
SOLARVERTRIEB G & W GMBH,STANS,CH,4321,LF,1,FRIEDRICH-AXEL GRANDY,DORFPLATZ 7A,6370,Nidwalden,Schweiz,46.9567069,8.3663268,Switzerland
SOLARVERTRIEB G&W UG (HAFTUNGSBESCHRÄNKT),SYRGENSTEIN,DE,4669,LF,1,FRIEDRICH-AXEL GRANDY,GEWERBESTR. 10 B,89428,Günzburg,Deutschland,48.64039215,10.29607295,Germany
SONNE TANKEN GMBH,SOLINGEN,DE,3511,LF,2,,MANGENBERGER STR. 229,42655,Solingen,Deutschland,51.167284,7.053786,Germany
STADTWERKE ZERBST GMBH,ZERBST,DE,3513,U1,23,STADT ZERBST/ANHALT,DESSAUER STR. 76,39261,Anhalt-Bitterfeld,Deutschland,51.9602612,12.0922616,Germany
STAR SCIENTIFIC EUROPE GMBH,PFÄFFIKON SZ,CH,7112,LF,1,"STAR SCIENTIFIC PTY LTD,",UNTERDORFSTRASSE 12,8808,Schwyz,Schweiz,47.205508,8.775779,Switzerland
STIFTUNG SUSTAINABLE ENERGY SYSTEMS ENGADINE ST. MORITZ (SESES),ST. MORITZ,CH,9499,LF,4,,"C/O RBT AG, PLAZZA DAL MULIN 6",7500,Graubünden,Schweiz,46.499099,9.839521,Switzerland
STOCKLEX AG,HEMSBACH,DE,6619,LF,1,,KÖNIGSBERGER STR.,69502,Rhein-Neckar,Deutschland,49.59132845,8.6438089,Germany
SUN2H AG,KLOTEN,CH,7219,LF,1,,MARKTGASSE 11,8302,Zürich,Schweiz,47.4502287,8.583683,Switzerland
SUNFARMING WEST GMBH,ERKNER,DE,3511,U1,4,MR PETER SCHRUM,ZUM WASSERWERK 11,15537,Oder-Spree,Deutschland,52.4300065,13.7432742,Germany
"SUNHORSE TRADING GMBH (""STG"")",LÜBECK,DE,4618,LF,2,PFERDE DER SONNE B.V.,MARIA-GOEPPERT-STR. 3,23562,Lübeck,Deutschland,53.8347766,10.6966361,Germany
SUPERSONNIG GMBH,BAD ESSEN,DE,3511,LF,1,,ESSENER STR. 18,49152,"Osnabrück, Landkreis",Deutschland,52.3235709,8.3406625,Germany
SUSTAINABLE FUELS AND ENERGY PROJECTS GMBH,WENTORF,DE,2011,LF,1,KYRILL SUYARKOV,SÜDREDDER,21465,Lauenburg,Deutschland,53.4883631,10.2606109,Germany
SYMBIONIK GMBH,HANNOVER,DE,7200,LF,1,MR DANIEL MEIER-HOFFMANN,BERCKHUSENSTR. 33,30625,Niedersachsen,Deutschland,52.3745674,9.7913613,Germany
SYNC NEURAL GENESIS AG,LUZERN,CH,7219,LF,1,SYNC NEURAL GENESIS AG,ALPENSTRASSE 9,6004,Lucerne,Schweiz,47.0555649,8.3106547,Switzerland
SYNREFORM GMBH,BERLIN,DE,2800,U1,1,LASERKERN GMBH,JOHANN-HITTORF-STR. 8,12489,Berlin,Deutschland,52.4313258,13.523673,Germany
SYNTHEC FUELS GMBH,DÜSSELDORF,DE,7112,LF,1,MR MULLER THOMAS,NEUER ZOLLHOF 3,40221,Düsseldorf,Deutschland,51.2165567,6.7579548,Germany
TANK 'N' GO GMBH,TÜBACH,CH,6201,LF,4,MR VELIBOR GRAHOVAC,WIESENSTRASSE 17,9327,St. Gallen,Schweiz,47.486343,9.457635,Switzerland
TAOSUN GMBH,AMMERSBEK,DE,9609,LF,2,BITBUNKER GMBH,GEORG-SASSE-STR. 24,22949,Stormarn,Deutschland,53.67666915,10.149545795378687,Germany
TECHNOLOGIEPARK NEDLITZ GMBH,LÜTZEN,DE,3511,LF,1,MR HOLGER KRIMMLING,STRAßE DER FREUNDSCHAFT,06686,Burgenlandkreis,Deutschland,,,Germany
TERRAVENT MANAGEMENT GMBH,LEER,DE,7010,LF,1,MR HELMER STECKER,AM NESSEUFER 40,26789,Leer,Deutschland,53.2264218,7.4537053,Germany
TESTNET ENGINEERING GMBH,OBERDING,DE,6209,U1,31,HERR MARIUS,ESCHENALLEE 11,85445,Erding,Deutschland,48.35332,11.833007,Germany
TKB-TECHNOLOGIEKONTOR BREMERHAVEN F & E GESELLSCHAFT FÜR DIE NUTZUNG REGENERATIVER ENERGIEN MBH,BREMERHAVEN,DE,7210,LF,1,RH3G GMBH,AM LUNEDEICH 156,27572,Bremerhaven,Deutschland,53.498256,8.590646,Germany
TO EUROPE COMMERCE & TRADING GMBH,ESCHBORN,DE,4669,LF,1,WENHUA MA,MERGENTHALERALLEE 79-81,65760,Main-Taunus,Deutschland,50.1352793,8.5724679,Germany
TORPEDO H2 TECHNOLOGIES GMBH,LEIPZIG,DE,2932,LF,1,,KARL-LIEBKNECHT-STR. 12,04107,Leipzig,Deutschland,51.3303228,12.3731946,Germany
TRIA ENERGY GMBH,ALDINGEN,DE,4321,LF,1,,HINTERE DORFSTRAß E,78554,Tuttlingen,Deutschland,,,Germany
TRIVEDA GMBH,ERFURT,DE,7112,U1,3,,JUSTUS-LIEBIG-STR. 3,99087,Erfurt,Deutschland,51.016137,11.034897,Germany
TURN ENERGY GMBH,MÜNCHEN,DE,3299,LF,3,TURN ENERGY GMBH,LEOPOLDSTR. 173 E,80804,"München, Landeshauptstadt",Deutschland,48.1747642,11.5853358,Germany
TURNEO GMBH,CUXHAVEN,DE,2011,LF,1,,HELGOLÄNDER KAI,27472,Oldenburg,Deutschland,53.86880865,8.709189511328123,Germany
UNDERGROUND ENERGY STORAGE TECHNOLOGIES GMBH,WIEN,AT,7112,U1,1,MRS LAURA KRATZER,SCHWARZENBERGPLATZ 16,1010,Wien,Österreich,48.2007538,16.3741849,Austria
UNITED WORLD BUSINESS GMBH,KÖLN,DE,6201,LF,2,AHMED BACANAK,BUTZWEILERHOF-ALLEE 3,50829,Köln,Deutschland,50.986319,6.890169,Germany
UNIVERS GMBH,MÜNCHEN,DE,3511,U1,11,ENVISION DIGITAL HOLDING LTD,LEOPOLDSTR. 248,80807,"München, Landeshauptstadt",Deutschland,48.1810434,11.585905,Germany
UNIVERS OPERATIONS GMBH,MÜNCHEN,DE,3511,LF,9,ENVISION DIGITAL HOLDING LTD,LEOPOLDSTR. 248,80807,"München, Landeshauptstadt",Deutschland,48.1810434,11.585905,Germany
VABECK® GMBH,BERLIN,DE,2011,LF,2,S&V Beck Holding UG (haftungsbeschränkt),AM ZEPPELINPARK 22,13591,Berlin,Deutschland,52.5310845,13.1313061,Germany
VANZETTI ENGINEERING-RESEARCH & DEVELOPMENT GMBH,MUTTENZ,CH,7112,LF,4,MRS MARIA RITA GHIO,HEISSGLÄNDSTRASSE 26,4132,Basel-Country,Schweiz,47.526834,7.652453,Switzerland
VENDURA INSTITUT FÜR ENERGIEMANAGEMENT UND -TECHNIK AG,WAIBLINGEN,DE,7112,LF,3,MR ULRICH OSKAR SILBERBERGER,IM BURGMÄUERLE,71334,Rems-Murr,Deutschland,48.85217215,9.300241942994845,Germany
VENTOGENE GMBH,NEUSTADT,DE,3511,LF,2,CARLYLE GROUP INC. (THE),RAFFINERIESTR. 100,93333,Kelheim,Deutschland,48.7996379,11.7634882,Germany
VERBUND GREEN HYDROGEN SALES GMBH,WIEN,AT,2014,LF,3,REPUBLIK ÖSTERREICH,AM HOF 6 A,1010,Wien,Österreich,48.211452,16.3668259,Austria
VERNCONEX AG,ZÜRICH,CH,5229,LF,1,,HOHLSTRASSE 188,8004,Zürich,Schweiz,47.3811975,8.5181692,Switzerland
VGBE ENERGY SERVICE GMBH,ESSEN,DE,7112,U1,25,VGBE ENERGY E.V.,DEILBACHTAL 173,45257,Essen,Deutschland,51.3812983,7.097816173378174,Germany
VIA SOLUTIONS GMBH,PITTEN,AT,4674,U1,3,,DR. THEODOR KÖRNER-STRAßE 470,2823,Niederösterreich,Österreich,47.719518,16.187397,Austria
VIAWA GMBH,HENNEF,DE,2790,LF,1,VIAWA GMBH,ANNOSTR. 64,53773,Rhein-Sieg,Deutschland,50.7981126,7.303897351253513,Germany
VIGORHYDROGEN AG,BERLIN,DE,2899,LF,6,,RUDOWER CHAUSSEE 29,12489,Berlin,Deutschland,52.4288824,13.5284808,Germany
VOLTH2 ESSEN GMBH,ESSEN,DE,2011,LF,2,MR ANDRE JURRES,RUHRALLEE 185,45136,Nordrhein-Westfalen,Deutschland,51.4358345,7.0482503,Germany
WÄRMEVERSORGUNG REGION HEIDE GMBH,HEIDE,DE,9411,LF,1,STADT HEIDE,POSTELWEG 1,25746,Dithmarschen,Deutschland,54.1934305,9.0922618,Germany
WASSERSTOFF BAR GMBH,STRALSUND,DE,5630,LF,4,,BADENSTR. 24 /25,18439,Vorpommern-Rügen,Deutschland,54.3146661,13.0960683,Germany
WASSERSTOFF DOMAT/EMS AG,DOMAT/EMS,CH,3511,LF,15,,"C/O AXPO TEGRA AG, VIA INNOVATIVA 11",7013,Graubünden,Schweiz,46.827007,9.424783,Switzerland
WASSERSTOFF ENTWICKLUNGS GMBH & CO. KG,AHAUS,DE,2829,LF,3,ENERGIEGENOSSENSCHAFT AHAUS-HEEK-LEGDEN EG,HOHER WEG 2,48683,Borken,Deutschland,52.069743,6.984569,Germany
WASSERSTOFF WEIßENFELS GMBH,WEIßENFELS,DE,2011,LF,2,MR THEODOR KARL SCHUON,NIKOLAISTR. 12,06667,Burgenlandkreis,Deutschland,51.1989863,11.967138224696503,Germany
WASSERSTOFF-GESELLSCHAFT HAMBURG E.V.,HAMBURG,DE,9499,LF,7,,ADOLPHSPLATZ 1,20457,"Hamburg, Freie und Hansestadt",Deutschland,53.5504105,9.9916179,Germany
WASSERSTOFFPRODUKTION OSTSCHWEIZ AG,ST. GALLEN,CH,2059,LF,75,,OBERSTRASSE 141,9000,St. Gallen,Schweiz,47.414071,9.357439,Switzerland
WEW GMBH,DORTMUND,DE,7120,LF,15,,FELICITASSTR. 2,44263,Dortmund,Deutschland,51.482838,7.486489,Germany
WHITECELL EISENHUTH GMBH & CO. KG,OSTERODE,DE,2573,U1,64,MR THORSTEN HICKMANN,FRIEDRICH-EBERT-STR. 203,37520,Niedersachsen,Deutschland,51.7472429,10.28841415,Germany
WIENER WASSERSTOFF GMBH,WIEN,AT,4730,U1,n.v.,STADT WIEN,ERDBERGSTRAßE 236,1110,Wien,Österreich,48.1822595,16.4212254,Austria
