Name,Representative,Address,Latitude,Longitude,Country
IFP School,Laetitia Salessy,228-232 avenue Napoléon Bonaparte 92500 Rueil Malmaison,48.877225,2.1728806,France
HydroGain,Jean Sornay,132 rue Bossuet  69006 Lyon,45.7684157,4.8575694,France
Airbus,Bruno Costes,1 Rond Point Maurice Bellonte 31707 Blagnac,43.626783,1.385495,France
Enerdata,Fabrice Poulin,47 avenue Alsace-Lorraine CS 90529 38027 Grenoble Cedex 1,45.189667,5.717846,France
CNPP Entreprise,Ronan Jezequel,Route de la Chapelle Reanville 27950 Saint Marcel,49.095195,1.42913,France
SUEZ,Hugues d'Antin,Tour CB21 - 16 Place de l'Iris 92400 Paris La Défense,48.889558,2.252382,France
Communauté d'Agglomération du Grand Albigeois,Roland Gilles,Parc François Mitterrand 81160 Saint-Juéry,,,
Ufip Énergies et Mobilités,Franck Chevallier,Les collines de l'Arche - Opéra C 76 route de la Demi-Lune 92800 Puteaux,48.89385,2.237727,France
Blue Spirit Aero,Olivier Savin,11 rue Amédée Bollée 92500 Rueil-Malmaison,48.8883958,2.1708301,France
ADF Industrial Solutions,Philippe Dumond,Chemin de la Bastide Blanche BAT G 13127 Vitrolles,43.430237,5.266606,France
ALSTOM,Stéphane Kaba,48 rue Albert Dhalenne 93482 Saint-Ouen-sur-Seine,48.914934,2.330397,France
Kelvion Thermal Solutions,Olivier ROBERT,25 rue du ranzai 44300 Nantes,47.249262,-1.523778,France
Messer France,Jérémie Cohen,24 Quai Gallieni - CS 90040 92156 Suresnes,48.8707708,2.2316273,France
Air Flow,Pierre Fiat,1200 avenue Olivier Perroy 13790 Rousset,43.470614,5.598779,France
Dream Energy,François Roulet,52 avenue Georges Clémenceau 78110 Le Vesinet,48.888558,2.12951,France
Hymoov,John Bilheur,31 BD de Cadréan 44550 Montoir-de-Bretagne,47.318974,-2.155382,France
MANERGY,Etienne Duvoisin,1 rue Séjourné 94000 Créteil,48.767962,2.473463,France
Communauté d'Agglomération du Grand Angoulême,Franck Giannelli,25 Boulevard Besson Bey 16023 Angoulême,45.6586325,0.1608784,France
KSB,Representative information not found,Address information not found,,,
CETIM,Christophe CHAMPENOIS,52 avenue Felix-Louat CS80067 60304 Senlis Cedex,49.203661,2.606838,France
LOXAM,Cédric Conrad,Rue Félix Pyat 92043 Puteaux La Défense,48.888829,2.234133,France
Avions Mauboussin,David Gallezot,30 rue Edouard Branly 90000 Belfort,47.6451504,6.8427685,France
CNES,Patrick Burdaszewski,CNES/DLA/SDS/PE 18 avenue Edouard Belin 31401 Toulouse,,,
Clean Horizon Consulting,Kréhi Serge Agbli,12 rue de la Chaussée d’Antin 75009 Paris,48.8719642,2.3338448,France
JFB Consulting,Stéphane Bouju,26 Boulevard Jean Jaurès 92100 Boulogne,48.8432649,2.2379122,France
Verso Energy,Mathieu Pélissier,49 bis avenue Franklin D. Roosevelt 75008 Paris,48.87013,2.309885,France
XYDROGEN,Xavier SAUGE,ZI TECHNOLAND 1  - 75 Avenue Oehmichen - 25460 ETUPES (FRANCE),47.5139454,6.8697005,France
LINDE,Damien Sage,"Linde France S.A. Les Jardins du Lou – bâtiment 5, 70 avenue Tony Garnier, CS 70021 69304 Lyon Cedex 07",45.726377,4.833304,France
Spie Batignolles,Khalil Achkar,8 rue Victor Noir 92521 Neuilly-sur-Seine Cedex,48.8815525,2.2664462,France
SIGEIF,Christophe Provot,64 bis rue de Monceau  75008 Paris,48.8788451,2.3132154,France
Le Havre Seine Métropole,Alexandre Ruiz,19 rue Georges Braque CS 70854 76085 Le Havre Cedex,49.495033,0.104816,France
Transports en commun de l'Agglomération Troyenne (TCAT),Jean-Pierre Gyéjacquot,20 rue aux Moines 10901 Troyes,48.306622,4.087352,France
UTAC,Jérôme Paschal,"Autodrome de Linas-Montlhéry, Avenue Georges Boillot 91310 Linas",48.626304,2.251621,France
Sébastien Thomas,Sébastien THOMAS,ENTECH SE ZA de Menez Prat 11 allée Jean-François de la Pérouse,47.616768,-64.812191,Canada
Voies Navigables de France,Cécile Cohas,175 Rue Ludovic Boutleux 62400 Béthune,50.529714,2.63487,France
Syndicat Départemental de la Manche,"11 rue Dame Denise
50008 Saint Lo Cedex",11 rue Dame Denise 50008 Saint Lo Cedex,49.116518,-1.095162,France
SWIFT,Alena Fargère,22 rue Vernier 75017 Paris,48.8840622,2.2909643,France
ABO Wind,Patrick Bessière,2 rue du libre échange 31500 Toulouse,43.6126826,1.4583119,France
APAVE,Vincent Dallemagne,6 rue du Général Audran 92400 Courbevoie,48.889879,2.254564,France
Alpiq,Ralph Dassonville,Ch. de Mornex 10 CH - 1001 Lausanne (Suisse),46.518746,6.628594,Switzerland
GRDF,Thomas MULLER - Directeur Hydrogène / Julien MORESMAU - Coordinateur National Projets Hydrogène,6 rue Condorcet 75009 Paris,48.8795691,2.3484703,France
JCB SAS,Philippe Girard,3 rue du Vignolle 95200 Sarcelles,48.987572,2.387014,France
Sia Partners,Charlotte DE LORGERIL,21 rue de Berri 75008 Paris,48.8728426,2.3047888,France
Groupe Petit Forestier,Frédéric Vannson,11 route de Tremblai 93420 Villepinte,48.96453,2.538206,France
HYVIA,Jean-Christophe BEZIAT,42 Route de Beynes 78640 VILLIERS SAINT FREDERIC,48.817237,1.877881,France
Grand Port Maritime de Bordeaux,LE VAN KIEM Michel,"152 quai de Bacalan, CS 41320 33082 Bordeaux Cedex",44.863233,-0.5503014,France
Syntec Ingénierie,Emmanuel Ramfel,148 Boulevard Haussmann 75008 Paris,48.8753041,2.3120856,France
GFLOW,Sébastien Derbord,17 rue Louis Breguet 44600 Saint-Nazaire,47.3030347,-2.1882526,France
EPI,François BELLIER,15 Rue des Hauts Guibouts 94360 Bry-sur-Marne,48.829264,2.522516,France
Puget Production Mécanique,Jérôme Puget,1313 Route de petit Condal 71480 Condal,46.452547,5.265577,France
Wellington,Florent Blanc,170 Boulevard de la Villette 75019 Paris,48.880817,2.370548,France
Axens,Bruno Domergue,"89, bd Franklin Roosevelt 92508 Rueil-Malmaison – France",48.8791294,2.1660008,France
Hutchinson,Brice Gabrielle,Rue Gustave Nourry   45120 Chalette sur Loing,48.021883,2.71979,France
Equans,Bénédicte AMIEL,1 Place Samuel Champlain 92400 COURBEVOIE,48.89559,2.239661,France
Gazfio,Pierre Balsalobré,12 Chemin du moulin des Ponts 27610 Romilly Sur Andelle,49.325699,1.259386,France
Dintec,Bruno Lescher,3 rue Joseph Cholet 44100 Nantes,47.1995408,-1.5824859,France
Schneider Electric,Guillaume Cayeux,35 rue Joseph Monier 92500 Ruel-Malmaison,48.890891,2.172649,France
Accenture,Grégory Jarry,118 avenue de France 75013 Paris,48.8311187,2.3764903,France
HysetCo,Camille-Léa Passerin,103 rue Charles Michels – 93200 Saint-Denis,48.9286312,2.343926418704376,France
Suez Consulting,Thomas VOLKMAR,SAFEGE SAS – 15/27 rue du Port 92 022 Nanterre Cedex,45.318686,6.086087,France
CMP Arles,Jérôme Laurent,1 rue Nicolas Copernic 13200 Arles,43.696917,4.633606,France
Genevos SAS,Rebecca Sharp,8 rue Isabelle Autissier 17140 Lagord,46.1845933,-1.1462007,France
Green Corp Konnection,Sébastien de Chaunac,300 Route des Fabriques 73250 Saint Pierre d’Albigny,45.567561,6.146458,France
HSL Technologies,Marie Sorensen Guillaume,Avenue Louis Philibert Bâtiment Lavoisier Technopôle de l'environnement de l'Arbois,48.942611,2.618959,France
Borea,Jean-Philippe Burtin,16 rue ballu 75009 Paris,48.8818615,2.3304162,France
Qinomic,Frédéric Strady,"994, rue de la gare  ZI La Touloubre, Bat.B  13770 Venelles",43.582369,5.466524,France
ODZ Consultants,Cédric Mouty,63 Rue Andre Bollier 69007 Lyon,45.7345794,4.8317101,France
RWE Renouvelables,Cédric Turnaco,50 rue Madame de Sanzillon  92110 Clichy,48.903173,2.313523,France
HY24,Nicolas Brahy,69 rue de Richelieu 75002 Paris,48.8675371,2.3377392,France
Neot Green Mobility,Aurélien Achard,60 rue de la Chaussée d’Antin 75009 Paris,48.8749232,2.3325339,France
GH2,Thierry Robustelly,320 rue saint-honoré 75001 Paris,48.8653429,2.3312506,France
Régulateurs Georgin,Nicolas Copsidis,14-16 rue Pierre Sémard 92320 Chatillon,48.803063,2.29267,France
La Métropole Européenne de Lille,Aymeric Butin,2 boulevard des Cités Unies CS 70043 59040 Lille Cedex,,,
Améthyste,Agnès Gaillard,1 Chemin des Frémonts 14360 Trouville Sur Mer,49.37113,0.09058,France
FAYAT SAS,Antonin DUNAND,137 rue du Palais Gallien 33000 Bordeaux,44.8461177,-0.581917,France
Parker Hannifin France SAS,Marc Mendowski,142 rue de la forêt 74130 Contamine sur Arve,46.135941,6.332043,France
TRAPIL,Arnaud Lemaire,3-5 cours du Triangle 92800 PUTEAUX,,,
Genvia,Francis BESNARD,"Plaine Saint-Pierre, Avenue Joseph Lazare CS 10620  34535 Béziers Cedex",43.334578,3.222272,France
JL&P Engineering,Jonathan Leroy,Technopole de Montesquieu  1 All. Jean Rostand  33650 Martillac,44.713184,-0.581381,France
SERGI Transformer Protector,Antoine Magnier,48-52 Avenue des Châtaigniers  95150 Taverny,49.025617,2.188078,France
MP DATA Technologies,Romain Lafitte,39 rue de la saussière 92100 Boulogne Billancourt,48.8374517,2.2405908,France
AP2E,Etienne SMITH,"Les Méridiens, Bat A   240 Rue Louis de Broglie   CS90537   13593 Aix en Provence Cedex 03   France",43.488093,5.357675,France
BDO IDF,Delphine Chavinier,7 rue du Parc de Clagny  78000 VERSAILLES,48.809794,2.1401384,France
Aklea,Lionel Roche,29 rue de Bonnel 69003 Lyon,45.761732,4.8458117,France
E-NEO,Jérémy Cantin,ZA La Colonne 2  85260 LES BROUZILS,46.884758,-1.318799,France
FLAP Etanchéité & Services,Loic Flamant,50 Impasse des prunus  01150 Blyes,45.841097,5.263174,France
H2GREMM,Alain Rocheux,7 Z.A. de Langelin  29510 EDERN,48.101469,-3.983575,France
Kanda Consulting SAS,Samy Benoudiz,7 Ruelle du Lavoir  78240 AIGREMONT,48.9026882,2.0192126,France
Cannes Pays de Lérins,Frédéric Marandon,Hôtel de Ville  Place Bernard Cornut Gentille 06414 Cannes Cedex,43.551198,7.011657,France
Eurométropole de Metz,Lola Guilhendou,MAISON DE LA MÉTROPOLE 1 place du Parlement de Metz CS 30353 57011 Metz Cedex 1,49.107222,6.176868,France
Burckhardt Compression France,Edouard Blanquart,21/23 rue du Petit Albi 95800 Cergy,49.055523,2.034128,France
Acaplast,Karina Lowe,24 rue Erlanger  75016 Paris,48.8462682,2.2609682,France
HPC International,Frank Karg,Hôtel de Recherche – Centre Perharidy  29680 Roscoff,48.725289,-3.983073781956044,France
Meije Development,Gérard de Giovanni,23 Le Clos Baptiste 44 rue de Vinde 70170 La Celle St Cloud,48.851307,2.146464,France
Tuyaux Flexibles Rudolph,Denis Foscarin,1 à 15 rue du Fiant 78500 Sartrouville,48.938985,2.176967,France
CCI France - Réseau Chambre de Commerce et d'Industrie,Jade LAM-THAN,8-10 rue Pierre Brossolette CS 90166 92 309 Levallois-Perret Cedex,,,
Atlas Copco,Jean-Christophe Lecocq,14 avenue Louis Blériot  95740 Frépillon,49.04882,2.195279,France
Solutions Hydrogène,Louis Picard,8 rue de Madrid 90000 Belfort,47.635402,6.845222,France
Orléans Métropole,Thierry Ziero,5 Place 6 juin 1944 45000 Orléans,47.903678,1.917225,France
Atlantech,Christophe Philipponneau,8 rue Isabelle Autissier 17140 Lagord,46.1845933,-1.1462007,France
Coordef Ingénierie,Bertrand James,Immeuble le Véga – 5 rue de la Galmy 77700 CHESSY,48.855768,2.77158,France
Hensoldt Nexeya France,Loic Carre,"Golf-Park, 1 Rdpt du Général Eisenhower, Bâtiment F, 31100 Toulouse",43.578613,1.3649334,France
KALIES,Fabrice Braconnier,16 rue Louis Neel 59260 Lezennes,50.601626,3.136168,France
UCT Fluid Solutions - Ham-Let France,Jean-Noël Ayello,2736 Route de Ravel  69440 Mornant,45.620882,4.706405,France
ROTH2,Maxime Rousseau,43 Rue des Brosses 69780 Moins,45.676549,4.94769,France
INSTN,Pascal Revirand,"INSTN – CEA – Centre de Grenoble – UEFG – 17 avenue des Martyrs, 38054 Grenoble",45.20085,5.705959,France
BECICE,Benjamin Pavillon,21 rue Armand Saintis 82000 Montauban,44.023582,1.361629,France
Corsica Sole,Jean-Gabriel Steinmetz,CORSICA SOLE Village  20251 Pancheraccia,41.863851,16.172146,Italy
Manitou Group,Valentin Brehier,430 RUE DE L'AUBINIÈRE 44150 ANCENIS-SAINT-GEREON,47.3864631,-1.1846466,France
NGE,CAMPOY Alain,Parc d’Activités de Laurade – 13103 St Etienne du Grès,47.2454768,2.0681051,France
GREENVOLT POWER,Desbois Julie,"41, cours de la Liberté, 69003 Lyon",45.7590217,4.8426242,France
SARA (Société Anonyme de la Raffinerie des Antilles),COTTA Olivier,"Zone Industrielle Californie B.P. 436, 97 232 LE LAMENTIN Martinique",,,
DUFFAU,CRUSE Clément,11 avenue Pierre Corneille  33400 TALENCE,44.7885107,-0.5870365,France
IMING,MONTEILS Bastien,41 rue Périer  92120 Montrouge,48.8141073,2.3159705,France
SYSTEM C,Jean-François Vasta,2 allée de Chamillé ZI du Bois des Lots  BP 60038 26130 Saint-Paul-Trois-Châteaux,,,
GESIP,Hélène MOUMRIKOFF,"1, rue du Général Leclerc – 92800 PUTEAUX",48.8869625,2.2431841,France
FNCCR,Charles-Antoine GAUTIER,20 boulevard de Latour Maubourg 75007 PARIS,,,
Challans Gois Communauté,Sébastien Chauvin,1 Bd Lucien Dodin 85300 CHALLANS,46.8447336,-1.8794928,France
Département du Tarn,Carole Couhert,Lices Georges Pompidou 81013 ALBI Cedex 9,43.930179,2.147623,France
Corstyrène Energy,OUZINEB Estelle,4270 Route d’Antisanti 20270 ALERIA,42.113278,9.477144,France
SEVEN ENERGIES NOUVELLES,Cyrille RIDART,c/o Working Space Factory – immeuble ARENICE- 6ème étage – 455 Promenade des Anglais – 06200 NICE,43.66730725,7.213954957645832,France
HyFIT,Ciavaldini Bertrand,"299B route de la Plaine, 20220 Aregno",42.584523,8.882317,France
DEFHY,SORIANO David,61 rue Arsène d’Arsonval  30900 Nîmes,43.8137156,4.309113,France
MAZARS,Mathieu Mougard,61 rue Henri Regnault 92400 Courbevoie - France,48.892275,2.244325,France
ADECCO GROUP,Julia Pajot,"2 Rue Henri Legay, 69100 Villeurbanne, France",45.7591969,4.9163203,France
GREEN LAW AVOCATS,Stéphanie Gandet,"GREENOPOLIS B.06, 28 rue Berjon, 69009 Lyon",45.7768962,4.798147,France
Freget Glaser & Associés,Perrotet Sandrine,7 rue Royale 75008 Paris,48.8675715,2.3224497,France
TÜV SÜD FRANCE,Arthur Lopez,"42 Chemin du Moulin Carron, 69130 Écully",45.793238,4.7759018,France
MSA SAFETY FRANCE,Arnaud QUINQUENET,"Rue Pierre et Marie Curie, ZI Sud, BP 903, 01400 Châtillon sur Chalaronne",46.116369,4.946495,France
EFFICIENT HYDROGEN MOTORS,Didier ARENAL,PEPINERE D'ENTREPRISES 9 ZA DE TY NEVEZ POUILLOT 29150 CHÂTEAULIN,,,
MESURE PROCESS,Marcello VENTURI,"Z.I. Les Richardets - 33 rue du Ballon 93160 Noisy-le-Grand, France",48.833595,2.570921,France
AXONE,Barbara HUEL,Château de la Saurine – 1985 route de Martina – 13590 MEYREUIL,43.500629,5.512977,France
Conseil départemental de Seine-et-Marne,COUSIN Laurent,Hôtel du département 12 rue des Saints-Pères 77000 Melun,48.541173,2.656059496835443,France
Conseil départemental de Loir-et-Cher,Sébastien DEPEYRE,1 PLACE DE LA REPUBLIQUE,48.8663333,2.3645359,France
FRANCE SUPPLY CHAIN,MACREZ Valérie,140 bis rue de Rennes 75006 PARIS,48.8454723,2.3252535,France
SPEGNN,Stéphane ANDRIEU,"1 rue du Général Leclerc, 92800 PUTEAUX",48.8869625,2.2431841,France
EIFFAGE ENERGIE SYSTEMES,Laurent SEVAISTRE,3-7 place de l’Europe 78140  Vélizy-Villacoublay.,,,
TOULOUSE METROPOLE,Mathilde Cadic,6 rue René Leduc- BP 35821- 31505 TOULOUSE Cedex 5,43.611189,1.456189,France
CVE,Henriet Marion,5 place de la Joliette,43.3044809,5.3666047,France
EURODIFROID,Alexandre TRAINEAU,ZI SUZEROLLE - 49140 Seiches sur le Loir FRANCE,47.582978,-0.346804,France
HYNOLOGY SAS,Renaut MOSDALE,1 rue de l'Europe – 38640 CLAIX France,45.1217915,5.6891702,France
PROCESS SENSING TECHNOLOGIES,Benoit Bourbon,"1 rue Monseigneur Ancel, Bâtiment C 69800 Saint-Priest",45.71542,4.968694,France
ENSAM,Farid Bakir,"151 Bd de l'Hôpital, 75013 Paris",48.8337779,2.3575561,France
AIP,Yves Dujardin,4 avenue Hoche 75008 Paris,48.8777159,2.3040221,France
OLGHAM,Vanessa Marlier,56 route de Galembrun lieu-dit Thuin 31480 PELLEPORT,43.750098,1.130645,France
GD TECH FRANCE,Benoit Gicquel,Rue Hélène Boucher Site Aeropolis 64510 BORDES,,,
EGIS,SPILL Pierre,15 avenue du Centre CS50238 - GUYANCOURT- 78286 Saint-Quentin-en-Yvelines CEDEX FRANCE,50.462168,1.57377,France
FARWIND,Philippe BACLET,"1 Rue de la Noë, 44300 Nantes",47.24804,-1.550293,France
SMT,MOURAO Jaïme - SOBRINO Marcos,101 avenue des Erables - 94440 Santery - France,48.718333,2.566339,France
CB TRD,Svetlana GUIRAUDIOS,135 Boulevard Haussmann-75008 Paris,48.875031,2.3128989,France
JD MESURE,GIROTTI,"76, allée de Paris ZAC Les Playes 83500 LA SEYNE SUR MER (France)",43.11027145,5.849297208407172,France
SHIP ST,Laurent MERMIER,58 avenue de la Perrière 56100 LORIENT,47.7323762,-3.3636198,France
pHYnix,Alexis MORVAN,25 rue des Mathurins 75008 Paris,48.8731663,2.325804,France
GRAVITHY,Tristan MURCIA,10 Place DE LA JOLIETTE 13002 MARSEILLE,43.3053231,5.3658945,France
RHYDE,Jean-Michel Meunier,45 Place du dix-neuf octobre 19 110 Bort-les-Orgues,,,
SETRAM,Jean marc AYRAL,44 Avenue Pierre Piffault 72027 Le Mans,47.9768019,0.1760268,France
GECOS,Cédric LECINA,"La pointe Bleue, 1389 voie l’occitane, 31670 LABEGE",43.540756,1.51083,France
SOCOTEC,Thibaud Montbel,5 Place des Frères Montgolfier 782870 Guyancourt,48.786461,2.052965,France
ENERGIE TERRITOIRE CONSEIL,Julien CHAUVET,16 rue Victor Hugo 69002 LY0N,45.755558,4.830655,France
FORVATEC,"125 Route de la Couture, 72250, Parigné L’Evêque","125 Route de la Couture, 72250, Parigné L’Evêque",47.942298,0.355769,France
Laurent THERY,Laurent THERY,7 Avenue De Camoens,48.8597117,2.285756,France
Q ENERGY,Wael ELAMINE,"330 Rue du Mourelet, ZI de Courtine 84000 Avignon",43.932348,4.776752,France
Teledyne Oldham Simtronics,Régis Prévost,"Zi Est, Rue Mathieu Orfila, 62000 Arras France",50.286998,2.808374,France
THIOT INGENIERIE,Frédéric PACAUD,"830 route Nationale, 46130 PUYBRUN",,,
LAUGUICONCEPT,BERTRAND GASCOIN,"Siège : 47 bis rue Benoît Malon, 76300 Sotteville lès Rouen,  Les plateaux techniques CESL Zone Sud : RD 817 64170 Lacq CESL Zone Nord: Espace sécurité” : ZIP du Havre, 5459 route industrielle, 76430 Saint-Vigor d’Ymonville",,,
BOSCH,Denis REGARD,32 avenue Michelet 93400 Saint Ouen sur Seine,48.910935,2.34403,France
Universal Hydrogen Europe,Christelle GERS,35 rue Gabriel Clerc - H16 31700 Blagnac,43.623276,1.381559,France
SUNTEC INDUSTRIES,Nicolas GAUTHIER,1 Rue Lavoisier CS 60102 F-21603 LONGVIC CEDEX,47.282848,5.043382,France
INOCEL DEVELOPMENT,LEJOSNE Johann,"​8 Rue de Rochepleine, 38120 Saint-Egrève",45.241648,5.681157,France
CHEMDOC WATER TECHNOLOGIES,François CHAINE​,​9 rue du cardinal 34800 Clermont l'Hérault​,43.617492,3.454946,France
GREEN NAVY,CARDI Charles,Route de Port la Forêt 29940 La Forêt-Fouesnant,47.8984941,-3.9662086,France
INTHY,Dominique Darne,Address information not found,,,
HYXOS,Basile BOUQUET,"80, rue Saint Lazare, 75009 Paris",48.8760373,2.3297775,France
LA ROCHE SUR YON AGGLOMERATION,Patrick SUDRE,Address information not found,,,
HOWDEN FRANCE,Caroline HAQUET,13 Rue de la Fayette 75009 Paris,,,
UNIVERSITE MOHAMMED 6 POLYTECHNIQUE,Fahd Benkirane,19 RUE DE L’AMIRAL HAMELIN 75016 PARIS,48.8672098,2.2920402,France
SYNERGILES,Adrien VIELVOYE,"Immeuble France-Antilles Guadeloupe ZAC de Moudong Sud BAIE-MAHAULT GP 97122, Baie-Mahault 97122, Guadeloupe",,,
NAWA TECHNOLOGIES,Guillaume MAISONNEUVE,Avenue Louis Philibert Technopôle Arbois Méditerranée 13 100 Aix en Provence,43.4913182,5.3339706,France
SYNOPS CONSEIL,Amaury VAUSSANVIN,7 place de Darcy – 21000 DIJON,47.323175,5.034336,France
SAINT MALO AGGLOMERATION,Corentin CARIOU,6 Rue de la Ville Jégu -bp 11 - 35260 Cancale,48.674229,-1.866056,France
NANTES METROPOLE,Hervé Jaigu,2 Cours du Champs de Mars - 44923 Nantes,47.213797,-1.544258,France
DIJON METROPOLE,Jean Patrick MASSON,Address information not found,,,
GAZ DOM,Cedric DAIRE,Z.I. Champigny 97224 DUCOS (Martinique),,,
COGNE FRANCE,Jean Philippe JOURDAN,16 rue de la patelle-bp-80119- 95613 Cergy Pontoise,49.0435631,2.0331125,France
METROPOLE DE LYON,Guillaume EYNARD,"20, rue du Lac CS 33569 69505 Lyon cedex 03",45.758093,4.8544,France
AVENTECH,Sébastien CERISE,"8 Allée Charles Baron, 26000 Valence",44.8918596,4.8890221,France
SAPAIC MOTEURS BERNARD,Xavier BERNARD,"​17 ch Champ-Grillet, 69650 Quincieux ZI​",,,
RH2,David MOURRE,"AUXR LAB, RUE DES PLAINES DE L'YONNE, 89000 AUXERRE",47.788991,3.593093,France
JOMI LEMAN,Ignacio VELASCO,1115 Route de Saint Thomas 26190 La Motte-Fanjas,45.052135,5.266724,France
I.M.O.2S,Thibault POINSENET,1 bis avenue François Adam 94100 Saint Maur des Fosses,48.7929792,2.4897216,France
LORIENT AGGLOMERATION,Laurent LE DEVEDEC,Lorient Agglomération 20001 56314 Lorient cedex,47.74419055,-3.3510757150270774,France
Conseil Départemental de la Lozère,Gérard COGNET,4 RUE DE LA ROVERE BP 24 48001 MENDE CEDEX,44.517801,3.49862,France
Seine Normandie Agglomération,Pascale GROS DUBOIS,12  rue de la Mare à Jouy 27120 DOUAINS,49.06171,1.419436,France
DEMATHIEU BARD BATIMENT ILE DE FRANCE,Patrick TRIOULET,36 rue du Séminaire - BâtimentG5C - 94550 CHEVILLY LARUE,48.761092,2.362603,France
3 AXES,Béatrice Peigné,199 RUE DE LA BOUGRIERE- 44980 SAINTE LUCE SUR LOIRE -,47.2647203,-1.4766609,France
Green HYdrogen Gas Applications,Pierre MACCIONI,1800 Route des Eymards 26260 Margès,45.133524,5.024987,France
ENERGY FORMATION,Mathieu Thouseau,La Croix Gaudin - 44 360 Saint-Etienne-de-Montluc,47.27548,-1.855396,France
Communauté d'agglomération de l'Auxerrois,Emmanuel Jobard,"6 bis place du maréchal Leclerc, 89010 Auxerre cedex",47.7953193,3.5700015,France
CLARKE ENERGY FRANCE,Aurel HIRON,"111 rue Marcel Dassault, ZAC des Chabauds, 13320 Bouc Bel Air, France",43.426607,5.391061,France
SOGESTRAN,Representative information not found,Address information not found,,,
HPP SYSTEMS,Michel POITRENAUD,"5, rue de Rambouillet – 59400 CAMBRAI",50.1888651,3.2447671,France
HYCARGO,Hugues MATHOT,"11 rue Surcouf, 75007 Paris, FRANCE",48.8614732,2.3094654,France
FIDAL,Emma PETRINKO,2 rue de la Mabilais 35042 Rennes cedex,48.1067605,-1.6942267,France
JACIR,Wilfried LETEURTOIS,11 rue Jean Moulin 77348 Pontault Combault,48.786199,2.598484,France
PROMETHYS ENGEENERING,Sylvain PASSOT,"33 rue, Jean Jaurès 38760 VARCES ALLIERES ET RISSET",45.087869,5.679874,France
FIELDBOX,Karine Mariani,Quai Armand Lalande 33000 Bordeaux,44.8624064,-0.5554229,France
VASCO PARTNERS,142 boulevard Pereire 75017 Paris,142 boulevard Pereire 75017 Paris,48.8837077,2.2944341,France
Groupe SNEF,Paul BROSSIER,2b boulevard Euro méditerranée Quai d’Arenc 13002 MARSEILLE,43.359119,5.434218,France
CHEMOURS FRANCE,Patrick REDON,Rue Frédéric Kuhlmann 60871 Vilers-Saint-Paul,,,
VALLEE SUD HYDROGENE,Richard LAURENS,Address information not found,,,
Communauté de Communes Du Golfe de Saint-Tropez,François ORY,Address information not found,,,
TEREGA SOLUTIONS,Lucie KEMPF,40 Avenue de l'Europe CS 2522 64010 Pau,,,
ELLIPSE GROUP,Lecomte  Mathilde,"305 Avenue le Jour se Lève, 92100 Boulogne",48.834484,2.256997,France
POEZL,Bruno Pierrine,"30 rue Francis de Pressensé, 11100 Narbonne",43.1919896,3.0117964,France
FEDA,Bertrand Thorette,10 Rue Pergolèse 75116 Paris,48.8755937,2.2854967,France
LYCEE MARITIME DE BASTIA,Julien Cometto,"Lycée Maritime de Bastia - Liceu Marittimu di Bastia, Rue des Turquines, 20200 Bastia, France",42.693062,9.452202,France
